"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",0
"US National","Season peak percentage","Bin","percent","2.3","2.4",0
"US National","Season peak percentage","Bin","percent","2.4","2.5",0
"US National","Season peak percentage","Bin","percent","2.5","2.6",0
"US National","Season peak percentage","Bin","percent","2.6","2.7",0
"US National","Season peak percentage","Bin","percent","2.7","2.8",0
"US National","Season peak percentage","Bin","percent","2.8","2.9",0
"US National","Season peak percentage","Bin","percent","2.9","3",0
"US National","Season peak percentage","Bin","percent","3","3.1",0
"US National","Season peak percentage","Bin","percent","3.1","3.2",0
"US National","Season peak percentage","Bin","percent","3.2","3.3",0
"US National","Season peak percentage","Bin","percent","3.3","3.4",0
"US National","Season peak percentage","Bin","percent","3.4","3.5",0
"US National","Season peak percentage","Bin","percent","3.5","3.6",0
"US National","Season peak percentage","Bin","percent","3.6","3.7",0
"US National","Season peak percentage","Bin","percent","3.7","3.8",0
"US National","Season peak percentage","Bin","percent","3.8","3.9",0
"US National","Season peak percentage","Bin","percent","3.9","4",0
"US National","Season peak percentage","Bin","percent","4","4.1",0
"US National","Season peak percentage","Bin","percent","4.1","4.2",0
"US National","Season peak percentage","Bin","percent","4.2","4.3",0
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.05
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.2
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.5
"US National","Season peak percentage","Bin","percent","4.6","4.7",0.2
"US National","Season peak percentage","Bin","percent","4.7","4.8",0.05
"US National","Season peak percentage","Bin","percent","4.8","4.9",0
"US National","Season peak percentage","Bin","percent","4.9","5",0
"US National","Season peak percentage","Bin","percent","5","5.1",0
"US National","Season peak percentage","Bin","percent","5.1","5.2",0
"US National","Season peak percentage","Bin","percent","5.2","5.3",0
"US National","Season peak percentage","Bin","percent","5.3","5.4",0
"US National","Season peak percentage","Bin","percent","5.4","5.5",0
"US National","Season peak percentage","Bin","percent","5.5","5.6",0
"US National","Season peak percentage","Bin","percent","5.6","5.7",0
"US National","Season peak percentage","Bin","percent","5.7","5.8",0
"US National","Season peak percentage","Bin","percent","5.8","5.9",0
"US National","Season peak percentage","Bin","percent","5.9","6",0
"US National","Season peak percentage","Bin","percent","6","6.1",0
"US National","Season peak percentage","Bin","percent","6.1","6.2",0
"US National","Season peak percentage","Bin","percent","6.2","6.3",0
"US National","Season peak percentage","Bin","percent","6.3","6.4",0
"US National","Season peak percentage","Bin","percent","6.4","6.5",0
"US National","Season peak percentage","Bin","percent","6.5","6.6",0
"US National","Season peak percentage","Bin","percent","6.6","6.7",0
"US National","Season peak percentage","Bin","percent","6.7","6.8",0
"US National","Season peak percentage","Bin","percent","6.8","6.9",0
"US National","Season peak percentage","Bin","percent","6.9","7",0
"US National","Season peak percentage","Bin","percent","7","7.1",0
"US National","Season peak percentage","Bin","percent","7.1","7.2",0
"US National","Season peak percentage","Bin","percent","7.2","7.3",0
"US National","Season peak percentage","Bin","percent","7.3","7.4",0
"US National","Season peak percentage","Bin","percent","7.4","7.5",0
"US National","Season peak percentage","Bin","percent","7.5","7.6",0
"US National","Season peak percentage","Bin","percent","7.6","7.7",0
"US National","Season peak percentage","Bin","percent","7.7","7.8",0
"US National","Season peak percentage","Bin","percent","7.8","7.9",0
"US National","Season peak percentage","Bin","percent","7.9","8",0
"US National","Season peak percentage","Bin","percent","8","8.1",0
"US National","Season peak percentage","Bin","percent","8.1","8.2",0
"US National","Season peak percentage","Bin","percent","8.2","8.3",0
"US National","Season peak percentage","Bin","percent","8.3","8.4",0
"US National","Season peak percentage","Bin","percent","8.4","8.5",0
"US National","Season peak percentage","Bin","percent","8.5","8.6",0
"US National","Season peak percentage","Bin","percent","8.6","8.7",0
"US National","Season peak percentage","Bin","percent","8.7","8.8",0
"US National","Season peak percentage","Bin","percent","8.8","8.9",0
"US National","Season peak percentage","Bin","percent","8.9","9",0
"US National","Season peak percentage","Bin","percent","9","9.1",0
"US National","Season peak percentage","Bin","percent","9.1","9.2",0
"US National","Season peak percentage","Bin","percent","9.2","9.3",0
"US National","Season peak percentage","Bin","percent","9.3","9.4",0
"US National","Season peak percentage","Bin","percent","9.4","9.5",0
"US National","Season peak percentage","Bin","percent","9.5","9.6",0
"US National","Season peak percentage","Bin","percent","9.6","9.7",0
"US National","Season peak percentage","Bin","percent","9.7","9.8",0
"US National","Season peak percentage","Bin","percent","9.8","9.9",0
"US National","Season peak percentage","Bin","percent","9.9","10",0
"US National","Season peak percentage","Bin","percent","10","10.1",0
"US National","Season peak percentage","Bin","percent","10.1","10.2",0
"US National","Season peak percentage","Bin","percent","10.2","10.3",0
"US National","Season peak percentage","Bin","percent","10.3","10.4",0
"US National","Season peak percentage","Bin","percent","10.4","10.5",0
"US National","Season peak percentage","Bin","percent","10.5","10.6",0
"US National","Season peak percentage","Bin","percent","10.6","10.7",0
"US National","Season peak percentage","Bin","percent","10.7","10.8",0
"US National","Season peak percentage","Bin","percent","10.8","10.9",0
"US National","Season peak percentage","Bin","percent","10.9","11",0
"US National","Season peak percentage","Bin","percent","11","11.1",0
"US National","Season peak percentage","Bin","percent","11.1","11.2",0
"US National","Season peak percentage","Bin","percent","11.2","11.3",0
"US National","Season peak percentage","Bin","percent","11.3","11.4",0
"US National","Season peak percentage","Bin","percent","11.4","11.5",0
"US National","Season peak percentage","Bin","percent","11.5","11.6",0
"US National","Season peak percentage","Bin","percent","11.6","11.7",0
"US National","Season peak percentage","Bin","percent","11.7","11.8",0
"US National","Season peak percentage","Bin","percent","11.8","11.9",0
"US National","Season peak percentage","Bin","percent","11.9","12",0
"US National","Season peak percentage","Bin","percent","12","12.1",0
"US National","Season peak percentage","Bin","percent","12.1","12.2",0
"US National","Season peak percentage","Bin","percent","12.2","12.3",0
"US National","Season peak percentage","Bin","percent","12.3","12.4",0
"US National","Season peak percentage","Bin","percent","12.4","12.5",0
"US National","Season peak percentage","Bin","percent","12.5","12.6",0
"US National","Season peak percentage","Bin","percent","12.6","12.7",0
"US National","Season peak percentage","Bin","percent","12.7","12.8",0
"US National","Season peak percentage","Bin","percent","12.8","12.9",0
"US National","Season peak percentage","Bin","percent","12.9","13",0
"US National","Season peak percentage","Bin","percent","13","100",0
"US National","1 wk ahead","Point","percent",NA,NA,1.1
"US National","1 wk ahead","Bin","percent","0","0.1",0.00046945
"US National","1 wk ahead","Bin","percent","0.1","0.2",0.0011683
"US National","1 wk ahead","Bin","percent","0.2","0.3",0.001917
"US National","1 wk ahead","Bin","percent","0.3","0.4",0.0037638
"US National","1 wk ahead","Bin","percent","0.4","0.5",0.0052613
"US National","1 wk ahead","Bin","percent","0.5","0.6",0.0096039
"US National","1 wk ahead","Bin","percent","0.6","0.7",0.019936
"US National","1 wk ahead","Bin","percent","0.7","0.8",0.042248
"US National","1 wk ahead","Bin","percent","0.8","0.9",0.081482
"US National","1 wk ahead","Bin","percent","0.9","1",0.11787
"US National","1 wk ahead","Bin","percent","1","1.1",0.14602
"US National","1 wk ahead","Bin","percent","1.1","1.2",0.14827
"US National","1 wk ahead","Bin","percent","1.2","1.3",0.13569
"US National","1 wk ahead","Bin","percent","1.3","1.4",0.099151
"US National","1 wk ahead","Bin","percent","1.4","1.5",0.063961
"US National","1 wk ahead","Bin","percent","1.5","1.6",0.032365
"US National","1 wk ahead","Bin","percent","1.6","1.7",0.019337
"US National","1 wk ahead","Bin","percent","1.7","1.8",0.0091547
"US National","1 wk ahead","Bin","percent","1.8","1.9",0.0046623
"US National","1 wk ahead","Bin","percent","1.9","2",0.0019669
"US National","1 wk ahead","Bin","percent","2","2.1",0.00091869
"US National","1 wk ahead","Bin","percent","2.1","2.2",0.00091869
"US National","1 wk ahead","Bin","percent","2.2","2.3",0.00076894
"US National","1 wk ahead","Bin","percent","2.3","2.4",0.0006192
"US National","1 wk ahead","Bin","percent","2.4","2.5",0.00046945
"US National","1 wk ahead","Bin","percent","2.5","2.6",0.0006192
"US National","1 wk ahead","Bin","percent","2.6","2.7",0.00076894
"US National","1 wk ahead","Bin","percent","2.7","2.8",0.00091869
"US National","1 wk ahead","Bin","percent","2.8","2.9",0.00091869
"US National","1 wk ahead","Bin","percent","2.9","3",0.00091869
"US National","1 wk ahead","Bin","percent","3","3.1",0.00076894
"US National","1 wk ahead","Bin","percent","3.1","3.2",0.0006192
"US National","1 wk ahead","Bin","percent","3.2","3.3",0.00046945
"US National","1 wk ahead","Bin","percent","3.3","3.4",0.00046945
"US National","1 wk ahead","Bin","percent","3.4","3.5",0.00046945
"US National","1 wk ahead","Bin","percent","3.5","3.6",0.00046945
"US National","1 wk ahead","Bin","percent","3.6","3.7",0.00046945
"US National","1 wk ahead","Bin","percent","3.7","3.8",0.00046945
"US National","1 wk ahead","Bin","percent","3.8","3.9",0.00046945
"US National","1 wk ahead","Bin","percent","3.9","4",0.00046945
"US National","1 wk ahead","Bin","percent","4","4.1",0.00046945
"US National","1 wk ahead","Bin","percent","4.1","4.2",0.00046945
"US National","1 wk ahead","Bin","percent","4.2","4.3",0.00046945
"US National","1 wk ahead","Bin","percent","4.3","4.4",0.00046945
"US National","1 wk ahead","Bin","percent","4.4","4.5",0.00046945
"US National","1 wk ahead","Bin","percent","4.5","4.6",0.00046945
"US National","1 wk ahead","Bin","percent","4.6","4.7",0.00046945
"US National","1 wk ahead","Bin","percent","4.7","4.8",0.00046945
"US National","1 wk ahead","Bin","percent","4.8","4.9",0.00046945
"US National","1 wk ahead","Bin","percent","4.9","5",0.00046945
"US National","1 wk ahead","Bin","percent","5","5.1",0.00046945
"US National","1 wk ahead","Bin","percent","5.1","5.2",0.00046945
"US National","1 wk ahead","Bin","percent","5.2","5.3",0.00046945
"US National","1 wk ahead","Bin","percent","5.3","5.4",0.00046945
"US National","1 wk ahead","Bin","percent","5.4","5.5",0.00046945
"US National","1 wk ahead","Bin","percent","5.5","5.6",0.00046945
"US National","1 wk ahead","Bin","percent","5.6","5.7",0.00046945
"US National","1 wk ahead","Bin","percent","5.7","5.8",0.00046945
"US National","1 wk ahead","Bin","percent","5.8","5.9",0.00046945
"US National","1 wk ahead","Bin","percent","5.9","6",0.00046945
"US National","1 wk ahead","Bin","percent","6","6.1",0.00046945
"US National","1 wk ahead","Bin","percent","6.1","6.2",0.00046945
"US National","1 wk ahead","Bin","percent","6.2","6.3",0.00046945
"US National","1 wk ahead","Bin","percent","6.3","6.4",0.00046945
"US National","1 wk ahead","Bin","percent","6.4","6.5",0.00046945
"US National","1 wk ahead","Bin","percent","6.5","6.6",0.00046945
"US National","1 wk ahead","Bin","percent","6.6","6.7",0.00046945
"US National","1 wk ahead","Bin","percent","6.7","6.8",0.00046945
"US National","1 wk ahead","Bin","percent","6.8","6.9",0.00046945
"US National","1 wk ahead","Bin","percent","6.9","7",0.00046945
"US National","1 wk ahead","Bin","percent","7","7.1",0.00046945
"US National","1 wk ahead","Bin","percent","7.1","7.2",0.00046945
"US National","1 wk ahead","Bin","percent","7.2","7.3",0.00046945
"US National","1 wk ahead","Bin","percent","7.3","7.4",0.00046945
"US National","1 wk ahead","Bin","percent","7.4","7.5",0.00046945
"US National","1 wk ahead","Bin","percent","7.5","7.6",0.00046945
"US National","1 wk ahead","Bin","percent","7.6","7.7",0.00046945
"US National","1 wk ahead","Bin","percent","7.7","7.8",0.00046945
"US National","1 wk ahead","Bin","percent","7.8","7.9",0.00046945
"US National","1 wk ahead","Bin","percent","7.9","8",0.00046945
"US National","1 wk ahead","Bin","percent","8","8.1",0.00046945
"US National","1 wk ahead","Bin","percent","8.1","8.2",0.00046945
"US National","1 wk ahead","Bin","percent","8.2","8.3",0.00046945
"US National","1 wk ahead","Bin","percent","8.3","8.4",0.00046945
"US National","1 wk ahead","Bin","percent","8.4","8.5",0.00046945
"US National","1 wk ahead","Bin","percent","8.5","8.6",0.00046945
"US National","1 wk ahead","Bin","percent","8.6","8.7",0.00046945
"US National","1 wk ahead","Bin","percent","8.7","8.8",0.00046945
"US National","1 wk ahead","Bin","percent","8.8","8.9",0.00046945
"US National","1 wk ahead","Bin","percent","8.9","9",0.00046945
"US National","1 wk ahead","Bin","percent","9","9.1",0.00046945
"US National","1 wk ahead","Bin","percent","9.1","9.2",0.00046945
"US National","1 wk ahead","Bin","percent","9.2","9.3",0.00046945
"US National","1 wk ahead","Bin","percent","9.3","9.4",0.00046945
"US National","1 wk ahead","Bin","percent","9.4","9.5",0.00046945
"US National","1 wk ahead","Bin","percent","9.5","9.6",0.00046945
"US National","1 wk ahead","Bin","percent","9.6","9.7",0.00046945
"US National","1 wk ahead","Bin","percent","9.7","9.8",0.00046945
"US National","1 wk ahead","Bin","percent","9.8","9.9",0.00046945
"US National","1 wk ahead","Bin","percent","9.9","10",0.00046945
"US National","1 wk ahead","Bin","percent","10","10.1",0.00046945
"US National","1 wk ahead","Bin","percent","10.1","10.2",0.00046945
"US National","1 wk ahead","Bin","percent","10.2","10.3",0.00046945
"US National","1 wk ahead","Bin","percent","10.3","10.4",0.00046945
"US National","1 wk ahead","Bin","percent","10.4","10.5",0.00046945
"US National","1 wk ahead","Bin","percent","10.5","10.6",0.00046945
"US National","1 wk ahead","Bin","percent","10.6","10.7",0.00046945
"US National","1 wk ahead","Bin","percent","10.7","10.8",0.00046945
"US National","1 wk ahead","Bin","percent","10.8","10.9",0.00046945
"US National","1 wk ahead","Bin","percent","10.9","11",0.00046945
"US National","1 wk ahead","Bin","percent","11","11.1",0.00046945
"US National","1 wk ahead","Bin","percent","11.1","11.2",0.00046945
"US National","1 wk ahead","Bin","percent","11.2","11.3",0.00046945
"US National","1 wk ahead","Bin","percent","11.3","11.4",0.00046945
"US National","1 wk ahead","Bin","percent","11.4","11.5",0.00046945
"US National","1 wk ahead","Bin","percent","11.5","11.6",0.00046945
"US National","1 wk ahead","Bin","percent","11.6","11.7",0.00046945
"US National","1 wk ahead","Bin","percent","11.7","11.8",0.00046945
"US National","1 wk ahead","Bin","percent","11.8","11.9",0.00046945
"US National","1 wk ahead","Bin","percent","11.9","12",0.00046945
"US National","1 wk ahead","Bin","percent","12","12.1",0.00046945
"US National","1 wk ahead","Bin","percent","12.1","12.2",0.00046945
"US National","1 wk ahead","Bin","percent","12.2","12.3",0.00046945
"US National","1 wk ahead","Bin","percent","12.3","12.4",0.00046945
"US National","1 wk ahead","Bin","percent","12.4","12.5",0.00046945
"US National","1 wk ahead","Bin","percent","12.5","12.6",0.00046945
"US National","1 wk ahead","Bin","percent","12.6","12.7",0.00046945
"US National","1 wk ahead","Bin","percent","12.7","12.8",0.00046945
"US National","1 wk ahead","Bin","percent","12.8","12.9",0.00046945
"US National","1 wk ahead","Bin","percent","12.9","13",0.00046945
"US National","1 wk ahead","Bin","percent","13","100",0.00046945
"US National","2 wk ahead","Point","percent",NA,NA,1
"US National","2 wk ahead","Bin","percent","0","0.1",0.00046999
"US National","2 wk ahead","Bin","percent","0.1","0.2",0.0031904
"US National","2 wk ahead","Bin","percent","0.2","0.3",0.0056678
"US National","2 wk ahead","Bin","percent","0.3","0.4",0.0093598
"US National","2 wk ahead","Bin","percent","0.4","0.5",0.011692
"US National","2 wk ahead","Bin","percent","0.5","0.6",0.017667
"US National","2 wk ahead","Bin","percent","0.6","0.7",0.028888
"US National","2 wk ahead","Bin","percent","0.7","0.8",0.050165
"US National","2 wk ahead","Bin","percent","0.8","0.9",0.082081
"US National","2 wk ahead","Bin","percent","0.9","1",0.11094
"US National","2 wk ahead","Bin","percent","1","1.1",0.13236
"US National","2 wk ahead","Bin","percent","1.1","1.2",0.13149
"US National","2 wk ahead","Bin","percent","1.2","1.3",0.11735
"US National","2 wk ahead","Bin","percent","1.3","1.4",0.086162
"US National","2 wk ahead","Bin","percent","1.4","1.5",0.058618
"US National","2 wk ahead","Bin","percent","1.5","1.6",0.034572
"US National","2 wk ahead","Bin","percent","1.6","1.7",0.024225
"US National","2 wk ahead","Bin","percent","1.7","1.8",0.016209
"US National","2 wk ahead","Bin","percent","1.8","1.9",0.011546
"US National","2 wk ahead","Bin","percent","1.9","2",0.007611
"US National","2 wk ahead","Bin","percent","2","2.1",0.0039676
"US National","2 wk ahead","Bin","percent","2.1","2.2",0.0023645
"US National","2 wk ahead","Bin","percent","2.2","2.3",0.0013444
"US National","2 wk ahead","Bin","percent","2.3","2.4",0.0011987
"US National","2 wk ahead","Bin","percent","2.4","2.5",0.0009072
"US National","2 wk ahead","Bin","percent","2.5","2.6",0.00061573
"US National","2 wk ahead","Bin","percent","2.6","2.7",0.00046999
"US National","2 wk ahead","Bin","percent","2.7","2.8",0.00046999
"US National","2 wk ahead","Bin","percent","2.8","2.9",0.00046999
"US National","2 wk ahead","Bin","percent","2.9","3",0.00046999
"US National","2 wk ahead","Bin","percent","3","3.1",0.00046999
"US National","2 wk ahead","Bin","percent","3.1","3.2",0.00046999
"US National","2 wk ahead","Bin","percent","3.2","3.3",0.00046999
"US National","2 wk ahead","Bin","percent","3.3","3.4",0.00046999
"US National","2 wk ahead","Bin","percent","3.4","3.5",0.00046999
"US National","2 wk ahead","Bin","percent","3.5","3.6",0.00046999
"US National","2 wk ahead","Bin","percent","3.6","3.7",0.00046999
"US National","2 wk ahead","Bin","percent","3.7","3.8",0.00046999
"US National","2 wk ahead","Bin","percent","3.8","3.9",0.00046999
"US National","2 wk ahead","Bin","percent","3.9","4",0.00046999
"US National","2 wk ahead","Bin","percent","4","4.1",0.00046999
"US National","2 wk ahead","Bin","percent","4.1","4.2",0.00046999
"US National","2 wk ahead","Bin","percent","4.2","4.3",0.00046999
"US National","2 wk ahead","Bin","percent","4.3","4.4",0.00046999
"US National","2 wk ahead","Bin","percent","4.4","4.5",0.00046999
"US National","2 wk ahead","Bin","percent","4.5","4.6",0.00046999
"US National","2 wk ahead","Bin","percent","4.6","4.7",0.00046999
"US National","2 wk ahead","Bin","percent","4.7","4.8",0.00046999
"US National","2 wk ahead","Bin","percent","4.8","4.9",0.00046999
"US National","2 wk ahead","Bin","percent","4.9","5",0.00046999
"US National","2 wk ahead","Bin","percent","5","5.1",0.00046999
"US National","2 wk ahead","Bin","percent","5.1","5.2",0.00046999
"US National","2 wk ahead","Bin","percent","5.2","5.3",0.00046999
"US National","2 wk ahead","Bin","percent","5.3","5.4",0.00046999
"US National","2 wk ahead","Bin","percent","5.4","5.5",0.00046999
"US National","2 wk ahead","Bin","percent","5.5","5.6",0.00046999
"US National","2 wk ahead","Bin","percent","5.6","5.7",0.00046999
"US National","2 wk ahead","Bin","percent","5.7","5.8",0.00046999
"US National","2 wk ahead","Bin","percent","5.8","5.9",0.00046999
"US National","2 wk ahead","Bin","percent","5.9","6",0.00046999
"US National","2 wk ahead","Bin","percent","6","6.1",0.00046999
"US National","2 wk ahead","Bin","percent","6.1","6.2",0.00046999
"US National","2 wk ahead","Bin","percent","6.2","6.3",0.00046999
"US National","2 wk ahead","Bin","percent","6.3","6.4",0.00046999
"US National","2 wk ahead","Bin","percent","6.4","6.5",0.00046999
"US National","2 wk ahead","Bin","percent","6.5","6.6",0.00046999
"US National","2 wk ahead","Bin","percent","6.6","6.7",0.00046999
"US National","2 wk ahead","Bin","percent","6.7","6.8",0.00046999
"US National","2 wk ahead","Bin","percent","6.8","6.9",0.00046999
"US National","2 wk ahead","Bin","percent","6.9","7",0.00046999
"US National","2 wk ahead","Bin","percent","7","7.1",0.00046999
"US National","2 wk ahead","Bin","percent","7.1","7.2",0.00046999
"US National","2 wk ahead","Bin","percent","7.2","7.3",0.00046999
"US National","2 wk ahead","Bin","percent","7.3","7.4",0.00046999
"US National","2 wk ahead","Bin","percent","7.4","7.5",0.00046999
"US National","2 wk ahead","Bin","percent","7.5","7.6",0.00046999
"US National","2 wk ahead","Bin","percent","7.6","7.7",0.00046999
"US National","2 wk ahead","Bin","percent","7.7","7.8",0.00046999
"US National","2 wk ahead","Bin","percent","7.8","7.9",0.00046999
"US National","2 wk ahead","Bin","percent","7.9","8",0.00046999
"US National","2 wk ahead","Bin","percent","8","8.1",0.00046999
"US National","2 wk ahead","Bin","percent","8.1","8.2",0.00046999
"US National","2 wk ahead","Bin","percent","8.2","8.3",0.00046999
"US National","2 wk ahead","Bin","percent","8.3","8.4",0.00046999
"US National","2 wk ahead","Bin","percent","8.4","8.5",0.00046999
"US National","2 wk ahead","Bin","percent","8.5","8.6",0.00046999
"US National","2 wk ahead","Bin","percent","8.6","8.7",0.00046999
"US National","2 wk ahead","Bin","percent","8.7","8.8",0.00046999
"US National","2 wk ahead","Bin","percent","8.8","8.9",0.00046999
"US National","2 wk ahead","Bin","percent","8.9","9",0.00046999
"US National","2 wk ahead","Bin","percent","9","9.1",0.00046999
"US National","2 wk ahead","Bin","percent","9.1","9.2",0.00046999
"US National","2 wk ahead","Bin","percent","9.2","9.3",0.00046999
"US National","2 wk ahead","Bin","percent","9.3","9.4",0.00046999
"US National","2 wk ahead","Bin","percent","9.4","9.5",0.00046999
"US National","2 wk ahead","Bin","percent","9.5","9.6",0.00046999
"US National","2 wk ahead","Bin","percent","9.6","9.7",0.00046999
"US National","2 wk ahead","Bin","percent","9.7","9.8",0.00046999
"US National","2 wk ahead","Bin","percent","9.8","9.9",0.00046999
"US National","2 wk ahead","Bin","percent","9.9","10",0.00046999
"US National","2 wk ahead","Bin","percent","10","10.1",0.00046999
"US National","2 wk ahead","Bin","percent","10.1","10.2",0.00046999
"US National","2 wk ahead","Bin","percent","10.2","10.3",0.00046999
"US National","2 wk ahead","Bin","percent","10.3","10.4",0.00046999
"US National","2 wk ahead","Bin","percent","10.4","10.5",0.00046999
"US National","2 wk ahead","Bin","percent","10.5","10.6",0.00046999
"US National","2 wk ahead","Bin","percent","10.6","10.7",0.00046999
"US National","2 wk ahead","Bin","percent","10.7","10.8",0.00046999
"US National","2 wk ahead","Bin","percent","10.8","10.9",0.00046999
"US National","2 wk ahead","Bin","percent","10.9","11",0.00046999
"US National","2 wk ahead","Bin","percent","11","11.1",0.00046999
"US National","2 wk ahead","Bin","percent","11.1","11.2",0.00046999
"US National","2 wk ahead","Bin","percent","11.2","11.3",0.00046999
"US National","2 wk ahead","Bin","percent","11.3","11.4",0.00046999
"US National","2 wk ahead","Bin","percent","11.4","11.5",0.00046999
"US National","2 wk ahead","Bin","percent","11.5","11.6",0.00046999
"US National","2 wk ahead","Bin","percent","11.6","11.7",0.00046999
"US National","2 wk ahead","Bin","percent","11.7","11.8",0.00046999
"US National","2 wk ahead","Bin","percent","11.8","11.9",0.00046999
"US National","2 wk ahead","Bin","percent","11.9","12",0.00046999
"US National","2 wk ahead","Bin","percent","12","12.1",0.00046999
"US National","2 wk ahead","Bin","percent","12.1","12.2",0.00046999
"US National","2 wk ahead","Bin","percent","12.2","12.3",0.00046999
"US National","2 wk ahead","Bin","percent","12.3","12.4",0.00046999
"US National","2 wk ahead","Bin","percent","12.4","12.5",0.00046999
"US National","2 wk ahead","Bin","percent","12.5","12.6",0.00046999
"US National","2 wk ahead","Bin","percent","12.6","12.7",0.00046999
"US National","2 wk ahead","Bin","percent","12.7","12.8",0.00046999
"US National","2 wk ahead","Bin","percent","12.8","12.9",0.00046999
"US National","2 wk ahead","Bin","percent","12.9","13",0.00046999
"US National","2 wk ahead","Bin","percent","13","100",0.00046999
"US National","3 wk ahead","Point","percent",NA,NA,1
