Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season peak percentage,Bin,percent,12.1,12.2, 0.00003631624613337123
US National,Season peak percentage,Bin,percent,12.2,12.3, 0.00003631624613337123
US National,Season peak percentage,Bin,percent,12.3,12.4, 0.00003631624613337123
US National,Season peak percentage,Bin,percent,12.4,12.5, 0.00003631624613337123
US National,Season peak percentage,Bin,percent,12.5,12.6, 0.00003631624613337123
US National,Season peak percentage,Bin,percent,12.6,12.7, 0.00003631624613337123
US National,Season peak percentage,Bin,percent,12.7,12.8, 0.00003631624613337123
US National,Season peak percentage,Bin,percent,12.8,12.9, 0.00003631624613337123
US National,Season peak percentage,Bin,percent,12.9,13, 0.00003631624613337123
US National,Season peak percentage,Bin,percent,13,100, 0.00003631624613337123
US National,1 wk ahead,Bin,percent,0,0.1, 0.00008386712659371377
US National,1 wk ahead,Bin,percent,0.1,0.2, 0.00016773425318742757
US National,1 wk ahead,Bin,percent,0.2,0.3, 0.00016773425318742752
US National,1 wk ahead,Bin,percent,0.3,0.4, 0.00034153772461960108
US National,1 wk ahead,Bin,percent,0.4,0.5, 0.00189354625830652772
US National,1 wk ahead,Bin,percent,0.5,0.6, 0.00653382477482067608
US National,1 wk ahead,Bin,percent,0.6,0.7, 0.01432544960684498797
US National,1 wk ahead,Bin,percent,0.7,0.8, 0.02266501489496693111
US National,1 wk ahead,Bin,percent,0.8,0.9, 0.03130387007538616012
US National,1 wk ahead,Bin,percent,0.9,1, 0.04223262280216887044
US National,1 wk ahead,Bin,percent,1,1.1, 0.05984040635463706848
US National,1 wk ahead,Bin,percent,1.1,1.2, 0.09292275677124757494
US National,1 wk ahead,Bin,percent,1.2,1.3, 0.13317510662473189265
US National,1 wk ahead,Bin,percent,1.3,1.4, 0.14859814794072825905
US National,1 wk ahead,Bin,percent,1.4,1.5, 0.12562267652903438830
US National,1 wk ahead,Bin,percent,1.5,1.6, 0.08854318559613610917
US National,1 wk ahead,Bin,percent,1.6,1.7, 0.06106151321386708158
US National,1 wk ahead,Bin,percent,1.7,1.8, 0.04540109754274118670
US National,1 wk ahead,Bin,percent,1.8,1.9, 0.03701086261105772379
US National,1 wk ahead,Bin,percent,1.9,2, 0.03021186660811895144
US National,1 wk ahead,Bin,percent,2,2.1, 0.01999730807679267822
US National,1 wk ahead,Bin,percent,2.1,2.2, 0.00901048400779223130
US National,1 wk ahead,Bin,percent,2.2,2.3, 0.00253500539874997564
US National,1 wk ahead,Bin,percent,2.3,2.4, 0.00045073274172588787
US National,1 wk ahead,Bin,percent,2.4,2.5, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,2.5,2.6, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,2.6,2.7, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,2.7,2.8, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,2.8,2.9, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,2.9,3, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,3,3.1, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,3.1,3.2, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,3.2,3.3, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,3.3,3.4, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,3.4,3.5, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,3.5,3.6, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,3.6,3.7, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,3.7,3.8, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,3.8,3.9, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,3.9,4, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,4,4.1, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,4.1,4.2, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,4.2,4.3, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,4.3,4.4, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,4.4,4.5, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,4.5,4.6, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,4.6,4.7, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,4.7,4.8, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,4.8,4.9, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,4.9,5, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,5,5.1, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,5.1,5.2, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,5.2,5.3, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,5.3,5.4, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,5.4,5.5, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,5.5,5.6, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,5.6,5.7, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,5.7,5.8, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,5.8,5.9, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,5.9,6, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,6,6.1, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,6.1,6.2, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,6.2,6.3, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,6.3,6.4, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,6.4,6.5, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,6.5,6.6, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,6.6,6.7, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,6.7,6.8, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,6.8,6.9, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,6.9,7, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,7,7.1, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,7.1,7.2, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,7.2,7.3, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,7.3,7.4, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,7.4,7.5, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,7.5,7.6, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,7.6,7.7, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,7.7,7.8, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,7.8,7.9, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,7.9,8, 0.00024209017021080835
US National,1 wk ahead,Bin,percent,8,8.1, 0.00024209017021081052
US National,1 wk ahead,Bin,percent,8.1,8.2, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,8.2,8.3, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,8.3,8.4, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,8.4,8.5, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,8.5,8.6, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,8.6,8.7, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,8.7,8.8, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,8.8,8.9, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,8.9,9, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,9,9.1, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,9.1,9.2, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,9.2,9.3, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,9.3,9.4, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,9.4,9.5, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,9.5,9.6, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,9.6,9.7, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,9.7,9.8, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,9.8,9.9, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,9.9,10, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,10,10.1, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,10.1,10.2, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,10.2,10.3, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,10.3,10.4, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,10.4,10.5, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,10.5,10.6, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,10.6,10.7, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,10.7,10.8, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,10.8,10.9, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,10.9,11, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,11,11.1, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,11.1,11.2, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,11.2,11.3, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,11.3,11.4, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,11.4,11.5, 0.00024209017021081263
US National,1 wk ahead,Bin,percent,11.5,11.6, 0.00024209017021081263
