"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",0
"US National","Season peak percentage","Bin","percent","2.3","2.4",0
"US National","Season peak percentage","Bin","percent","2.4","2.5",0
"US National","Season peak percentage","Bin","percent","2.5","2.6",0
"US National","Season peak percentage","Bin","percent","2.6","2.7",0
"US National","Season peak percentage","Bin","percent","2.7","2.8",0
"US National","Season peak percentage","Bin","percent","2.8","2.9",0
"US National","Season peak percentage","Bin","percent","2.9","3",0
"US National","Season peak percentage","Bin","percent","3","3.1",0
"US National","Season peak percentage","Bin","percent","3.1","3.2",0
"US National","Season peak percentage","Bin","percent","3.2","3.3",0
"US National","Season peak percentage","Bin","percent","3.3","3.4",0
"US National","Season peak percentage","Bin","percent","3.4","3.5",0.4641
"US National","Season peak percentage","Bin","percent","3.5","3.6",0.0323
"US National","Season peak percentage","Bin","percent","3.6","3.7",0.035
"US National","Season peak percentage","Bin","percent","3.7","3.8",0.0289
"US National","Season peak percentage","Bin","percent","3.8","3.9",0.0261
"US National","Season peak percentage","Bin","percent","3.9","4",0.0096
"US National","Season peak percentage","Bin","percent","4","4.1",0.0039
"US National","Season peak percentage","Bin","percent","4.1","4.2",0.0088
"US National","Season peak percentage","Bin","percent","4.2","4.3",0.026
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.027
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.0301
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.0352
"US National","Season peak percentage","Bin","percent","4.6","4.7",0.045
"US National","Season peak percentage","Bin","percent","4.7","4.8",0.03
"US National","Season peak percentage","Bin","percent","4.8","4.9",0.0087
"US National","Season peak percentage","Bin","percent","4.9","5",0.0032
"US National","Season peak percentage","Bin","percent","5","5.1",0.0029
"US National","Season peak percentage","Bin","percent","5.1","5.2",0.0075
"US National","Season peak percentage","Bin","percent","5.2","5.3",0.0073
"US National","Season peak percentage","Bin","percent","5.3","5.4",0.0075
"US National","Season peak percentage","Bin","percent","5.4","5.5",0.0096
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.0115
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.018
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.0147
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.0068
"US National","Season peak percentage","Bin","percent","5.9","6",0.0049
"US National","Season peak percentage","Bin","percent","6","6.1",0.0067
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.0082
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.0037
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.0029
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.0024
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.0037
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.0026
"US National","Season peak percentage","Bin","percent","6.7","6.8",0.0036
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.0065
"US National","Season peak percentage","Bin","percent","6.9","7",0.0069
"US National","Season peak percentage","Bin","percent","7","7.1",0.0096
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.0078
"US National","Season peak percentage","Bin","percent","7.2","7.3",0.0032
"US National","Season peak percentage","Bin","percent","7.3","7.4",7e-04
"US National","Season peak percentage","Bin","percent","7.4","7.5",0.0011
"US National","Season peak percentage","Bin","percent","7.5","7.6",0.0023
"US National","Season peak percentage","Bin","percent","7.6","7.7",0.0044
"US National","Season peak percentage","Bin","percent","7.7","7.8",0.0066
"US National","Season peak percentage","Bin","percent","7.8","7.9",0.0054
"US National","Season peak percentage","Bin","percent","7.9","8",0.0054
"US National","Season peak percentage","Bin","percent","8","8.1",7e-04
"US National","Season peak percentage","Bin","percent","8.1","8.2",0.000900000000000001
"US National","Season peak percentage","Bin","percent","8.2","8.3",1e-04
"US National","Season peak percentage","Bin","percent","8.3","8.4",0
"US National","Season peak percentage","Bin","percent","8.4","8.5",0
"US National","Season peak percentage","Bin","percent","8.5","8.6",0
"US National","Season peak percentage","Bin","percent","8.6","8.7",0
"US National","Season peak percentage","Bin","percent","8.7","8.8",0
"US National","Season peak percentage","Bin","percent","8.8","8.9",0
"US National","Season peak percentage","Bin","percent","8.9","9",0
"US National","Season peak percentage","Bin","percent","9","9.1",0
"US National","Season peak percentage","Bin","percent","9.1","9.2",0
"US National","Season peak percentage","Bin","percent","9.2","9.3",0
"US National","Season peak percentage","Bin","percent","9.3","9.4",0
"US National","Season peak percentage","Bin","percent","9.4","9.5",0
"US National","Season peak percentage","Bin","percent","9.5","9.6",0
"US National","Season peak percentage","Bin","percent","9.6","9.7",0
"US National","Season peak percentage","Bin","percent","9.7","9.8",0
"US National","Season peak percentage","Bin","percent","9.8","9.9",0
"US National","Season peak percentage","Bin","percent","9.9","10",0
"US National","Season peak percentage","Bin","percent","10","10.1",0
"US National","Season peak percentage","Bin","percent","10.1","10.2",0
"US National","Season peak percentage","Bin","percent","10.2","10.3",0
"US National","Season peak percentage","Bin","percent","10.3","10.4",0
"US National","Season peak percentage","Bin","percent","10.4","10.5",0
"US National","Season peak percentage","Bin","percent","10.5","10.6",0
"US National","Season peak percentage","Bin","percent","10.6","10.7",0
"US National","Season peak percentage","Bin","percent","10.7","10.8",0
"US National","Season peak percentage","Bin","percent","10.8","10.9",0
"US National","Season peak percentage","Bin","percent","10.9","11",0
"US National","Season peak percentage","Bin","percent","11","11.1",0
"US National","Season peak percentage","Bin","percent","11.1","11.2",0
"US National","Season peak percentage","Bin","percent","11.2","11.3",0
"US National","Season peak percentage","Bin","percent","11.3","11.4",0
"US National","Season peak percentage","Bin","percent","11.4","11.5",0
"US National","Season peak percentage","Bin","percent","11.5","11.6",0
"US National","Season peak percentage","Bin","percent","11.6","11.7",0
"US National","Season peak percentage","Bin","percent","11.7","11.8",0
"US National","Season peak percentage","Bin","percent","11.8","11.9",0
"US National","Season peak percentage","Bin","percent","11.9","12",0
"US National","Season peak percentage","Bin","percent","12","12.1",0
"US National","Season peak percentage","Bin","percent","12.1","12.2",0
"US National","Season peak percentage","Bin","percent","12.2","12.3",0
"US National","Season peak percentage","Bin","percent","12.3","12.4",0
"US National","Season peak percentage","Bin","percent","12.4","12.5",0
"US National","Season peak percentage","Bin","percent","12.5","12.6",0
"US National","Season peak percentage","Bin","percent","12.6","12.7",0
"US National","Season peak percentage","Bin","percent","12.7","12.8",0
"US National","Season peak percentage","Bin","percent","12.8","12.9",0
"US National","Season peak percentage","Bin","percent","12.9","13",0
"US National","Season peak percentage","Bin","percent","13","100",0
"US National","1 wk ahead","Point","percent",NA,NA,3.2
"US National","1 wk ahead","Bin","percent","0","0.1",0
"US National","1 wk ahead","Bin","percent","0.1","0.2",0
"US National","1 wk ahead","Bin","percent","0.2","0.3",0
"US National","1 wk ahead","Bin","percent","0.3","0.4",0
"US National","1 wk ahead","Bin","percent","0.4","0.5",0
"US National","1 wk ahead","Bin","percent","0.5","0.6",0
"US National","1 wk ahead","Bin","percent","0.6","0.7",0
"US National","1 wk ahead","Bin","percent","0.7","0.8",0
"US National","1 wk ahead","Bin","percent","0.8","0.9",0
"US National","1 wk ahead","Bin","percent","0.9","1",0
"US National","1 wk ahead","Bin","percent","1","1.1",0
"US National","1 wk ahead","Bin","percent","1.1","1.2",0
"US National","1 wk ahead","Bin","percent","1.2","1.3",0
"US National","1 wk ahead","Bin","percent","1.3","1.4",0
"US National","1 wk ahead","Bin","percent","1.4","1.5",0
"US National","1 wk ahead","Bin","percent","1.5","1.6",0
"US National","1 wk ahead","Bin","percent","1.6","1.7",0
"US National","1 wk ahead","Bin","percent","1.7","1.8",0
"US National","1 wk ahead","Bin","percent","1.8","1.9",0
"US National","1 wk ahead","Bin","percent","1.9","2",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","2","2.1",4e-04
"US National","1 wk ahead","Bin","percent","2.1","2.2",0.0014
"US National","1 wk ahead","Bin","percent","2.2","2.3",3e-04
"US National","1 wk ahead","Bin","percent","2.3","2.4",3e-04
"US National","1 wk ahead","Bin","percent","2.4","2.5",0.0469
"US National","1 wk ahead","Bin","percent","2.5","2.6",0.0441
"US National","1 wk ahead","Bin","percent","2.6","2.7",0.0625
"US National","1 wk ahead","Bin","percent","2.7","2.8",0.0504
"US National","1 wk ahead","Bin","percent","2.8","2.9",0.0246
"US National","1 wk ahead","Bin","percent","2.9","3",0.0617
"US National","1 wk ahead","Bin","percent","3","3.1",0.0436
"US National","1 wk ahead","Bin","percent","3.1","3.2",0.1024
"US National","1 wk ahead","Bin","percent","3.2","3.3",0.0868
"US National","1 wk ahead","Bin","percent","3.3","3.4",0.0669
"US National","1 wk ahead","Bin","percent","3.4","3.5",0.085
"US National","1 wk ahead","Bin","percent","3.5","3.6",0.0495
"US National","1 wk ahead","Bin","percent","3.6","3.7",0.0779
"US National","1 wk ahead","Bin","percent","3.7","3.8",0.0125
"US National","1 wk ahead","Bin","percent","3.8","3.9",0.0201
"US National","1 wk ahead","Bin","percent","3.9","4",4e-04
"US National","1 wk ahead","Bin","percent","4","4.1",2e-04
"US National","1 wk ahead","Bin","percent","4.1","4.2",0.004
"US National","1 wk ahead","Bin","percent","4.2","4.3",0.0464
"US National","1 wk ahead","Bin","percent","4.3","4.4",0.0166
"US National","1 wk ahead","Bin","percent","4.4","4.5",0.0349
"US National","1 wk ahead","Bin","percent","4.5","4.6",0.0063
"US National","1 wk ahead","Bin","percent","4.6","4.7",0.0279
"US National","1 wk ahead","Bin","percent","4.7","4.8",0.003
"US National","1 wk ahead","Bin","percent","4.8","4.9",0
"US National","1 wk ahead","Bin","percent","4.9","5",0.0041
"US National","1 wk ahead","Bin","percent","5","5.1",0.0044
"US National","1 wk ahead","Bin","percent","5.1","5.2",5e-04
"US National","1 wk ahead","Bin","percent","5.2","5.3",0
"US National","1 wk ahead","Bin","percent","5.3","5.4",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","5.4","5.5",0.0079
"US National","1 wk ahead","Bin","percent","5.5","5.6",0.0054
"US National","1 wk ahead","Bin","percent","5.6","5.7",2e-04
"US National","1 wk ahead","Bin","percent","5.7","5.8",2e-04
"US National","1 wk ahead","Bin","percent","5.8","5.9",0
"US National","1 wk ahead","Bin","percent","5.9","6",0
"US National","1 wk ahead","Bin","percent","6","6.1",0
"US National","1 wk ahead","Bin","percent","6.1","6.2",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","6.2","6.3",0
"US National","1 wk ahead","Bin","percent","6.3","6.4",0
"US National","1 wk ahead","Bin","percent","6.4","6.5",0
"US National","1 wk ahead","Bin","percent","6.5","6.6",0
"US National","1 wk ahead","Bin","percent","6.6","6.7",0
"US National","1 wk ahead","Bin","percent","6.7","6.8",0
"US National","1 wk ahead","Bin","percent","6.8","6.9",0
"US National","1 wk ahead","Bin","percent","6.9","7",0
"US National","1 wk ahead","Bin","percent","7","7.1",0
"US National","1 wk ahead","Bin","percent","7.1","7.2",0
"US National","1 wk ahead","Bin","percent","7.2","7.3",0
"US National","1 wk ahead","Bin","percent","7.3","7.4",0
"US National","1 wk ahead","Bin","percent","7.4","7.5",0
"US National","1 wk ahead","Bin","percent","7.5","7.6",0
"US National","1 wk ahead","Bin","percent","7.6","7.7",0
"US National","1 wk ahead","Bin","percent","7.7","7.8",0
"US National","1 wk ahead","Bin","percent","7.8","7.9",0
"US National","1 wk ahead","Bin","percent","7.9","8",0
"US National","1 wk ahead","Bin","percent","8","8.1",0
"US National","1 wk ahead","Bin","percent","8.1","8.2",0
"US National","1 wk ahead","Bin","percent","8.2","8.3",0
"US National","1 wk ahead","Bin","percent","8.3","8.4",0
"US National","1 wk ahead","Bin","percent","8.4","8.5",0
"US National","1 wk ahead","Bin","percent","8.5","8.6",0
"US National","1 wk ahead","Bin","percent","8.6","8.7",0
"US National","1 wk ahead","Bin","percent","8.7","8.8",0
"US National","1 wk ahead","Bin","percent","8.8","8.9",0
"US National","1 wk ahead","Bin","percent","8.9","9",0
"US National","1 wk ahead","Bin","percent","9","9.1",0
"US National","1 wk ahead","Bin","percent","9.1","9.2",0
"US National","1 wk ahead","Bin","percent","9.2","9.3",0
"US National","1 wk ahead","Bin","percent","9.3","9.4",0
"US National","1 wk ahead","Bin","percent","9.4","9.5",0
"US National","1 wk ahead","Bin","percent","9.5","9.6",0
"US National","1 wk ahead","Bin","percent","9.6","9.7",0
"US National","1 wk ahead","Bin","percent","9.7","9.8",0
"US National","1 wk ahead","Bin","percent","9.8","9.9",0
"US National","1 wk ahead","Bin","percent","9.9","10",0
"US National","1 wk ahead","Bin","percent","10","10.1",0
"US National","1 wk ahead","Bin","percent","10.1","10.2",0
"US National","1 wk ahead","Bin","percent","10.2","10.3",0
"US National","1 wk ahead","Bin","percent","10.3","10.4",0
"US National","1 wk ahead","Bin","percent","10.4","10.5",0
"US National","1 wk ahead","Bin","percent","10.5","10.6",0
"US National","1 wk ahead","Bin","percent","10.6","10.7",0
"US National","1 wk ahead","Bin","percent","10.7","10.8",0
"US National","1 wk ahead","Bin","percent","10.8","10.9",0
"US National","1 wk ahead","Bin","percent","10.9","11",0
"US National","1 wk ahead","Bin","percent","11","11.1",0
"US National","1 wk ahead","Bin","percent","11.1","11.2",0
"US National","1 wk ahead","Bin","percent","11.2","11.3",0
"US National","1 wk ahead","Bin","percent","11.3","11.4",0
"US National","1 wk ahead","Bin","percent","11.4","11.5",0
"US National","1 wk ahead","Bin","percent","11.5","11.6",0
"US National","1 wk ahead","Bin","percent","11.6","11.7",0
"US National","1 wk ahead","Bin","percent","11.7","11.8",0
"US National","1 wk ahead","Bin","percent","11.8","11.9",0
"US National","1 wk ahead","Bin","percent","11.9","12",0
"US National","1 wk ahead","Bin","percent","12","12.1",0
"US National","1 wk ahead","Bin","percent","12.1","12.2",0
"US National","1 wk ahead","Bin","percent","12.2","12.3",0
"US National","1 wk ahead","Bin","percent","12.3","12.4",0
"US National","1 wk ahead","Bin","percent","12.4","12.5",0
"US National","1 wk ahead","Bin","percent","12.5","12.6",0
"US National","1 wk ahead","Bin","percent","12.6","12.7",0
"US National","1 wk ahead","Bin","percent","12.7","12.8",0
"US National","1 wk ahead","Bin","percent","12.8","12.9",0
"US National","1 wk ahead","Bin","percent","12.9","13",0
"US National","1 wk ahead","Bin","percent","13","100",0
"US National","2 wk ahead","Point","percent",NA,NA,3.2
"US National","2 wk ahead","Bin","percent","0","0.1",0
"US National","2 wk ahead","Bin","percent","0.1","0.2",0
"US National","2 wk ahead","Bin","percent","0.2","0.3",0
"US National","2 wk ahead","Bin","percent","0.3","0.4",0
"US National","2 wk ahead","Bin","percent","0.4","0.5",0
"US National","2 wk ahead","Bin","percent","0.5","0.6",0
"US National","2 wk ahead","Bin","percent","0.6","0.7",0
"US National","2 wk ahead","Bin","percent","0.7","0.8",0
"US National","2 wk ahead","Bin","percent","0.8","0.9",0
"US National","2 wk ahead","Bin","percent","0.9","1",0
"US National","2 wk ahead","Bin","percent","1","1.1",0
"US National","2 wk ahead","Bin","percent","1.1","1.2",0
"US National","2 wk ahead","Bin","percent","1.2","1.3",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","1.3","1.4",0
"US National","2 wk ahead","Bin","percent","1.4","1.5",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","1.5","1.6",0
"US National","2 wk ahead","Bin","percent","1.6","1.7",0
"US National","2 wk ahead","Bin","percent","1.7","1.8",0.0042
"US National","2 wk ahead","Bin","percent","1.8","1.9",0
"US National","2 wk ahead","Bin","percent","1.9","2",0.0353
"US National","2 wk ahead","Bin","percent","2","2.1",0.0049
"US National","2 wk ahead","Bin","percent","2.1","2.2",0.0258
"US National","2 wk ahead","Bin","percent","2.2","2.3",0.0163
"US National","2 wk ahead","Bin","percent","2.3","2.4",0.0405
"US National","2 wk ahead","Bin","percent","2.4","2.5",0.0143
"US National","2 wk ahead","Bin","percent","2.5","2.6",0.0675
"US National","2 wk ahead","Bin","percent","2.6","2.7",0.0551
"US National","2 wk ahead","Bin","percent","2.7","2.8",0.0316
"US National","2 wk ahead","Bin","percent","2.8","2.9",0.0281
"US National","2 wk ahead","Bin","percent","2.9","3",0.0699
"US National","2 wk ahead","Bin","percent","3","3.1",0.038
"US National","2 wk ahead","Bin","percent","3.1","3.2",0.0486
"US National","2 wk ahead","Bin","percent","3.2","3.3",0.0656
"US National","2 wk ahead","Bin","percent","3.3","3.4",0.0413
"US National","2 wk ahead","Bin","percent","3.4","3.5",0.0518
"US National","2 wk ahead","Bin","percent","3.5","3.6",0.0398
"US National","2 wk ahead","Bin","percent","3.6","3.7",0.0323
"US National","2 wk ahead","Bin","percent","3.7","3.8",0.0228
"US National","2 wk ahead","Bin","percent","3.8","3.9",0.0152
"US National","2 wk ahead","Bin","percent","3.9","4",0.005
"US National","2 wk ahead","Bin","percent","4","4.1",0.0013
"US National","2 wk ahead","Bin","percent","4.1","4.2",0.0032
"US National","2 wk ahead","Bin","percent","4.2","4.3",0.0262
"US National","2 wk ahead","Bin","percent","4.3","4.4",0.0324
"US National","2 wk ahead","Bin","percent","4.4","4.5",0.0215
"US National","2 wk ahead","Bin","percent","4.5","4.6",0.0204
"US National","2 wk ahead","Bin","percent","4.6","4.7",0.0318
"US National","2 wk ahead","Bin","percent","4.7","4.8",0.0119
"US National","2 wk ahead","Bin","percent","4.8","4.9",8e-04
"US National","2 wk ahead","Bin","percent","4.9","5",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","5","5.1",0.003
"US National","2 wk ahead","Bin","percent","5.1","5.2",0.0137
"US National","2 wk ahead","Bin","percent","5.2","5.3",0.0107
"US National","2 wk ahead","Bin","percent","5.3","5.4",0.0015
"US National","2 wk ahead","Bin","percent","5.4","5.5",0.0017
"US National","2 wk ahead","Bin","percent","5.5","5.6",0.0022
"US National","2 wk ahead","Bin","percent","5.6","5.7",0.0133
"US National","2 wk ahead","Bin","percent","5.7","5.8",0.0107
"US National","2 wk ahead","Bin","percent","5.8","5.9",0.0032
"US National","2 wk ahead","Bin","percent","5.9","6",0.003
"US National","2 wk ahead","Bin","percent","6","6.1",0.0048
"US National","2 wk ahead","Bin","percent","6.1","6.2",0.0098
"US National","2 wk ahead","Bin","percent","6.2","6.3",0.0066
"US National","2 wk ahead","Bin","percent","6.3","6.4",0.0013
"US National","2 wk ahead","Bin","percent","6.4","6.5",0
"US National","2 wk ahead","Bin","percent","6.5","6.6",0
"US National","2 wk ahead","Bin","percent","6.6","6.7",0
"US National","2 wk ahead","Bin","percent","6.7","6.8",0
"US National","2 wk ahead","Bin","percent","6.8","6.9",0
"US National","2 wk ahead","Bin","percent","6.9","7",0
"US National","2 wk ahead","Bin","percent","7","7.1",0.0018
"US National","2 wk ahead","Bin","percent","7.1","7.2",0.0047
"US National","2 wk ahead","Bin","percent","7.2","7.3",0.0034
"US National","2 wk ahead","Bin","percent","7.3","7.4",8e-04
"US National","2 wk ahead","Bin","percent","7.4","7.5",0
"US National","2 wk ahead","Bin","percent","7.5","7.6",9.99999999999999e-05
"US National","2 wk ahead","Bin","percent","7.6","7.7",0
"US National","2 wk ahead","Bin","percent","7.7","7.8",0
"US National","2 wk ahead","Bin","percent","7.8","7.9",0
"US National","2 wk ahead","Bin","percent","7.9","8",0
"US National","2 wk ahead","Bin","percent","8","8.1",0
"US National","2 wk ahead","Bin","percent","8.1","8.2",0
"US National","2 wk ahead","Bin","percent","8.2","8.3",0
"US National","2 wk ahead","Bin","percent","8.3","8.4",0
"US National","2 wk ahead","Bin","percent","8.4","8.5",0
"US National","2 wk ahead","Bin","percent","8.5","8.6",0
"US National","2 wk ahead","Bin","percent","8.6","8.7",0
"US National","2 wk ahead","Bin","percent","8.7","8.8",0
"US National","2 wk ahead","Bin","percent","8.8","8.9",0
"US National","2 wk ahead","Bin","percent","8.9","9",0
"US National","2 wk ahead","Bin","percent","9","9.1",0
"US National","2 wk ahead","Bin","percent","9.1","9.2",0
"US National","2 wk ahead","Bin","percent","9.2","9.3",0
"US National","2 wk ahead","Bin","percent","9.3","9.4",0
"US National","2 wk ahead","Bin","percent","9.4","9.5",0
"US National","2 wk ahead","Bin","percent","9.5","9.6",0
"US National","2 wk ahead","Bin","percent","9.6","9.7",0
"US National","2 wk ahead","Bin","percent","9.7","9.8",0
"US National","2 wk ahead","Bin","percent","9.8","9.9",0
"US National","2 wk ahead","Bin","percent","9.9","10",0
"US National","2 wk ahead","Bin","percent","10","10.1",0
"US National","2 wk ahead","Bin","percent","10.1","10.2",0
"US National","2 wk ahead","Bin","percent","10.2","10.3",0
"US National","2 wk ahead","Bin","percent","10.3","10.4",0
"US National","2 wk ahead","Bin","percent","10.4","10.5",0
"US National","2 wk ahead","Bin","percent","10.5","10.6",0
"US National","2 wk ahead","Bin","percent","10.6","10.7",0
"US National","2 wk ahead","Bin","percent","10.7","10.8",0
"US National","2 wk ahead","Bin","percent","10.8","10.9",0
"US National","2 wk ahead","Bin","percent","10.9","11",0
"US National","2 wk ahead","Bin","percent","11","11.1",0
"US National","2 wk ahead","Bin","percent","11.1","11.2",0
"US National","2 wk ahead","Bin","percent","11.2","11.3",0
"US National","2 wk ahead","Bin","percent","11.3","11.4",0
"US National","2 wk ahead","Bin","percent","11.4","11.5",0
"US National","2 wk ahead","Bin","percent","11.5","11.6",0
"US National","2 wk ahead","Bin","percent","11.6","11.7",0
"US National","2 wk ahead","Bin","percent","11.7","11.8",0
"US National","2 wk ahead","Bin","percent","11.8","11.9",0
"US National","2 wk ahead","Bin","percent","11.9","12",0
"US National","2 wk ahead","Bin","percent","12","12.1",0
"US National","2 wk ahead","Bin","percent","12.1","12.2",0
"US National","2 wk ahead","Bin","percent","12.2","12.3",0
"US National","2 wk ahead","Bin","percent","12.3","12.4",0
"US National","2 wk ahead","Bin","percent","12.4","12.5",0
"US National","2 wk ahead","Bin","percent","12.5","12.6",0
"US National","2 wk ahead","Bin","percent","12.6","12.7",0
"US National","2 wk ahead","Bin","percent","12.7","12.8",0
"US National","2 wk ahead","Bin","percent","12.8","12.9",0
"US National","2 wk ahead","Bin","percent","12.9","13",0
"US National","2 wk ahead","Bin","percent","13","100",0
"US National","3 wk ahead","Point","percent",NA,NA,3
"US National","3 wk ahead","Bin","percent","0","0.1",0
"US National","3 wk ahead","Bin","percent","0.1","0.2",0
"US National","3 wk ahead","Bin","percent","0.2","0.3",0
"US National","3 wk ahead","Bin","percent","0.3","0.4",0
"US National","3 wk ahead","Bin","percent","0.4","0.5",0
"US National","3 wk ahead","Bin","percent","0.5","0.6",0
"US National","3 wk ahead","Bin","percent","0.6","0.7",0
"US National","3 wk ahead","Bin","percent","0.7","0.8",0
"US National","3 wk ahead","Bin","percent","0.8","0.9",0
"US National","3 wk ahead","Bin","percent","0.9","1",0
"US National","3 wk ahead","Bin","percent","1","1.1",0
"US National","3 wk ahead","Bin","percent","1.1","1.2",9.99999999999999e-05
"US National","3 wk ahead","Bin","percent","1.2","1.3",2e-04
"US National","3 wk ahead","Bin","percent","1.3","1.4",0.0021
"US National","3 wk ahead","Bin","percent","1.4","1.5",0.0228
"US National","3 wk ahead","Bin","percent","1.5","1.6",9.99999999999999e-05
"US National","3 wk ahead","Bin","percent","1.6","1.7",0.0014
