"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season peak percentage","Bin","percent","7.4","7.5",0.0031003100310031
"US National","Season peak percentage","Bin","percent","7.5","7.6",0.0024002400240024
"US National","Season peak percentage","Bin","percent","7.6","7.7",0.0025002500250025
"US National","Season peak percentage","Bin","percent","7.7","7.8",0.0023002300230023
"US National","Season peak percentage","Bin","percent","7.8","7.9",0.0029002900290029
"US National","Season peak percentage","Bin","percent","7.9","8",0.0022002200220022
"US National","Season peak percentage","Bin","percent","8","8.1",0.0021002100210021
"US National","Season peak percentage","Bin","percent","8.1","8.2",0.0026002600260026
"US National","Season peak percentage","Bin","percent","8.2","8.3",0.0014001400140014
"US National","Season peak percentage","Bin","percent","8.3","8.4",0.0012001200120012
"US National","Season peak percentage","Bin","percent","8.4","8.5",0.0022002200220022
"US National","Season peak percentage","Bin","percent","8.5","8.6",0.0011001100110011
"US National","Season peak percentage","Bin","percent","8.6","8.7",0.0019001900190019
"US National","Season peak percentage","Bin","percent","8.7","8.8",0.0013001300130013
"US National","Season peak percentage","Bin","percent","8.8","8.9",0.0014001400140014
"US National","Season peak percentage","Bin","percent","8.9","9",0.0015001500150015
"US National","Season peak percentage","Bin","percent","9","9.1",0.0021002100210021
"US National","Season peak percentage","Bin","percent","9.1","9.2",0.0018001800180018
"US National","Season peak percentage","Bin","percent","9.2","9.3",0.0011001100110011
"US National","Season peak percentage","Bin","percent","9.3","9.4",0.0016001600160016
"US National","Season peak percentage","Bin","percent","9.4","9.5",0.0011001100110011
"US National","Season peak percentage","Bin","percent","9.5","9.6",0.001000100010001
"US National","Season peak percentage","Bin","percent","9.6","9.7",0.0014001400140014
"US National","Season peak percentage","Bin","percent","9.7","9.8",0.0006000600060006
"US National","Season peak percentage","Bin","percent","9.8","9.9",0.001000100010001
"US National","Season peak percentage","Bin","percent","9.9","10",0.000900090009000901
"US National","Season peak percentage","Bin","percent","10","10.1",0.0005000500050005
"US National","Season peak percentage","Bin","percent","10.1","10.2",0.0008000800080008
"US National","Season peak percentage","Bin","percent","10.2","10.3",0.0011001100110011
"US National","Season peak percentage","Bin","percent","10.3","10.4",0.0005000500050005
"US National","Season peak percentage","Bin","percent","10.4","10.5",0.0007000700070007
"US National","Season peak percentage","Bin","percent","10.5","10.6",0.0004000400040004
"US National","Season peak percentage","Bin","percent","10.6","10.7",0.0007000700070007
"US National","Season peak percentage","Bin","percent","10.7","10.8",0.0011001100110011
"US National","Season peak percentage","Bin","percent","10.8","10.9",0.0005000500050005
"US National","Season peak percentage","Bin","percent","10.9","11",0.0007000700070007
"US National","Season peak percentage","Bin","percent","11","11.1",0.0005000500050005
"US National","Season peak percentage","Bin","percent","11.1","11.2",0.0007000700070007
"US National","Season peak percentage","Bin","percent","11.2","11.3",0.0004000400040004
"US National","Season peak percentage","Bin","percent","11.3","11.4",0.001000100010001
"US National","Season peak percentage","Bin","percent","11.4","11.5",0.0002000200020002
"US National","Season peak percentage","Bin","percent","11.5","11.6",0.0004000400040004
"US National","Season peak percentage","Bin","percent","11.6","11.7",0.0006000600060006
"US National","Season peak percentage","Bin","percent","11.7","11.8",0.0007000700070007
"US National","Season peak percentage","Bin","percent","11.8","11.9",0.0007000700070007
"US National","Season peak percentage","Bin","percent","11.9","12",0.0006000600060006
"US National","Season peak percentage","Bin","percent","12","12.1",0.0005000500050005
"US National","Season peak percentage","Bin","percent","12.1","12.2",0.0007000700070007
"US National","Season peak percentage","Bin","percent","12.2","12.3",0.001000100010001
"US National","Season peak percentage","Bin","percent","12.3","12.4",0.0006000600060006
"US National","Season peak percentage","Bin","percent","12.4","12.5",0.0005000500050005
"US National","Season peak percentage","Bin","percent","12.5","12.6",0.0008000800080008
"US National","Season peak percentage","Bin","percent","12.6","12.7",0.0005000500050005
"US National","Season peak percentage","Bin","percent","12.7","12.8",0
"US National","Season peak percentage","Bin","percent","12.8","12.9",0.0005000500050005
"US National","Season peak percentage","Bin","percent","12.9","13",0.0007000700070007
"US National","Season peak percentage","Bin","percent","13","100",0.0214021402140214
"US National","1 wk ahead","Point","percent",NA,NA,1.9
"US National","1 wk ahead","Bin","percent","0","0.1",0
"US National","1 wk ahead","Bin","percent","0.1","0.2",0
"US National","1 wk ahead","Bin","percent","0.2","0.3",0
"US National","1 wk ahead","Bin","percent","0.3","0.4",0
"US National","1 wk ahead","Bin","percent","0.4","0.5",0
"US National","1 wk ahead","Bin","percent","0.5","0.6",0
"US National","1 wk ahead","Bin","percent","0.6","0.7",0
"US National","1 wk ahead","Bin","percent","0.7","0.8",0
"US National","1 wk ahead","Bin","percent","0.8","0.9",0
"US National","1 wk ahead","Bin","percent","0.9","1",0
"US National","1 wk ahead","Bin","percent","1","1.1",1e-04
"US National","1 wk ahead","Bin","percent","1.1","1.2",0
"US National","1 wk ahead","Bin","percent","1.2","1.3",7e-04
"US National","1 wk ahead","Bin","percent","1.3","1.4",0.006
"US National","1 wk ahead","Bin","percent","1.4","1.5",0.0236
"US National","1 wk ahead","Bin","percent","1.5","1.6",0.0607
"US National","1 wk ahead","Bin","percent","1.6","1.7",0.1
"US National","1 wk ahead","Bin","percent","1.7","1.8",0.1389
"US National","1 wk ahead","Bin","percent","1.8","1.9",0.162
"US National","1 wk ahead","Bin","percent","1.9","2",0.1493
"US National","1 wk ahead","Bin","percent","2","2.1",0.1242
"US National","1 wk ahead","Bin","percent","2.1","2.2",0.0901
"US National","1 wk ahead","Bin","percent","2.2","2.3",0.0621
"US National","1 wk ahead","Bin","percent","2.3","2.4",0.0364
"US National","1 wk ahead","Bin","percent","2.4","2.5",0.0221
"US National","1 wk ahead","Bin","percent","2.5","2.6",0.0103
"US National","1 wk ahead","Bin","percent","2.6","2.7",0.0062
"US National","1 wk ahead","Bin","percent","2.7","2.8",0.0034
"US National","1 wk ahead","Bin","percent","2.8","2.9",0.0022
"US National","1 wk ahead","Bin","percent","2.9","3",3e-04
"US National","1 wk ahead","Bin","percent","3","3.1",7e-04
"US National","1 wk ahead","Bin","percent","3.1","3.2",5e-04
"US National","1 wk ahead","Bin","percent","3.2","3.3",0
"US National","1 wk ahead","Bin","percent","3.3","3.4",2e-04
"US National","1 wk ahead","Bin","percent","3.4","3.5",0
"US National","1 wk ahead","Bin","percent","3.5","3.6",0
"US National","1 wk ahead","Bin","percent","3.6","3.7",0
"US National","1 wk ahead","Bin","percent","3.7","3.8",0
"US National","1 wk ahead","Bin","percent","3.8","3.9",0
"US National","1 wk ahead","Bin","percent","3.9","4",0
"US National","1 wk ahead","Bin","percent","4","4.1",0
"US National","1 wk ahead","Bin","percent","4.1","4.2",0
"US National","1 wk ahead","Bin","percent","4.2","4.3",0
"US National","1 wk ahead","Bin","percent","4.3","4.4",0
"US National","1 wk ahead","Bin","percent","4.4","4.5",0
"US National","1 wk ahead","Bin","percent","4.5","4.6",0
"US National","1 wk ahead","Bin","percent","4.6","4.7",0
"US National","1 wk ahead","Bin","percent","4.7","4.8",0
"US National","1 wk ahead","Bin","percent","4.8","4.9",0
"US National","1 wk ahead","Bin","percent","4.9","5",0
"US National","1 wk ahead","Bin","percent","5","5.1",0
"US National","1 wk ahead","Bin","percent","5.1","5.2",0
"US National","1 wk ahead","Bin","percent","5.2","5.3",0
"US National","1 wk ahead","Bin","percent","5.3","5.4",0
"US National","1 wk ahead","Bin","percent","5.4","5.5",0
"US National","1 wk ahead","Bin","percent","5.5","5.6",0
"US National","1 wk ahead","Bin","percent","5.6","5.7",0
"US National","1 wk ahead","Bin","percent","5.7","5.8",0
"US National","1 wk ahead","Bin","percent","5.8","5.9",0
"US National","1 wk ahead","Bin","percent","5.9","6",0
"US National","1 wk ahead","Bin","percent","6","6.1",0
"US National","1 wk ahead","Bin","percent","6.1","6.2",0
"US National","1 wk ahead","Bin","percent","6.2","6.3",0
"US National","1 wk ahead","Bin","percent","6.3","6.4",0
"US National","1 wk ahead","Bin","percent","6.4","6.5",0
"US National","1 wk ahead","Bin","percent","6.5","6.6",0
"US National","1 wk ahead","Bin","percent","6.6","6.7",0
"US National","1 wk ahead","Bin","percent","6.7","6.8",0
"US National","1 wk ahead","Bin","percent","6.8","6.9",0
"US National","1 wk ahead","Bin","percent","6.9","7",0
"US National","1 wk ahead","Bin","percent","7","7.1",0
"US National","1 wk ahead","Bin","percent","7.1","7.2",0
"US National","1 wk ahead","Bin","percent","7.2","7.3",0
"US National","1 wk ahead","Bin","percent","7.3","7.4",0
"US National","1 wk ahead","Bin","percent","7.4","7.5",0
"US National","1 wk ahead","Bin","percent","7.5","7.6",0
"US National","1 wk ahead","Bin","percent","7.6","7.7",0
"US National","1 wk ahead","Bin","percent","7.7","7.8",0
"US National","1 wk ahead","Bin","percent","7.8","7.9",0
"US National","1 wk ahead","Bin","percent","7.9","8",0
"US National","1 wk ahead","Bin","percent","8","8.1",0
"US National","1 wk ahead","Bin","percent","8.1","8.2",0
"US National","1 wk ahead","Bin","percent","8.2","8.3",0
"US National","1 wk ahead","Bin","percent","8.3","8.4",0
"US National","1 wk ahead","Bin","percent","8.4","8.5",0
"US National","1 wk ahead","Bin","percent","8.5","8.6",0
"US National","1 wk ahead","Bin","percent","8.6","8.7",0
"US National","1 wk ahead","Bin","percent","8.7","8.8",0
"US National","1 wk ahead","Bin","percent","8.8","8.9",0
"US National","1 wk ahead","Bin","percent","8.9","9",0
"US National","1 wk ahead","Bin","percent","9","9.1",0
"US National","1 wk ahead","Bin","percent","9.1","9.2",0
"US National","1 wk ahead","Bin","percent","9.2","9.3",0
"US National","1 wk ahead","Bin","percent","9.3","9.4",0
"US National","1 wk ahead","Bin","percent","9.4","9.5",0
"US National","1 wk ahead","Bin","percent","9.5","9.6",0
"US National","1 wk ahead","Bin","percent","9.6","9.7",0
"US National","1 wk ahead","Bin","percent","9.7","9.8",0
"US National","1 wk ahead","Bin","percent","9.8","9.9",0
"US National","1 wk ahead","Bin","percent","9.9","10",0
"US National","1 wk ahead","Bin","percent","10","10.1",0
"US National","1 wk ahead","Bin","percent","10.1","10.2",0
"US National","1 wk ahead","Bin","percent","10.2","10.3",0
"US National","1 wk ahead","Bin","percent","10.3","10.4",0
"US National","1 wk ahead","Bin","percent","10.4","10.5",0
"US National","1 wk ahead","Bin","percent","10.5","10.6",0
"US National","1 wk ahead","Bin","percent","10.6","10.7",0
"US National","1 wk ahead","Bin","percent","10.7","10.8",0
"US National","1 wk ahead","Bin","percent","10.8","10.9",0
"US National","1 wk ahead","Bin","percent","10.9","11",0
"US National","1 wk ahead","Bin","percent","11","11.1",0
"US National","1 wk ahead","Bin","percent","11.1","11.2",0
"US National","1 wk ahead","Bin","percent","11.2","11.3",0
"US National","1 wk ahead","Bin","percent","11.3","11.4",0
"US National","1 wk ahead","Bin","percent","11.4","11.5",0
"US National","1 wk ahead","Bin","percent","11.5","11.6",0
"US National","1 wk ahead","Bin","percent","11.6","11.7",0
"US National","1 wk ahead","Bin","percent","11.7","11.8",0
"US National","1 wk ahead","Bin","percent","11.8","11.9",0
"US National","1 wk ahead","Bin","percent","11.9","12",0
"US National","1 wk ahead","Bin","percent","12","12.1",0
"US National","1 wk ahead","Bin","percent","12.1","12.2",0
"US National","1 wk ahead","Bin","percent","12.2","12.3",0
"US National","1 wk ahead","Bin","percent","12.3","12.4",0
"US National","1 wk ahead","Bin","percent","12.4","12.5",0
"US National","1 wk ahead","Bin","percent","12.5","12.6",0
"US National","1 wk ahead","Bin","percent","12.6","12.7",0
"US National","1 wk ahead","Bin","percent","12.7","12.8",0
"US National","1 wk ahead","Bin","percent","12.8","12.9",0
"US National","1 wk ahead","Bin","percent","12.9","13",0
"US National","1 wk ahead","Bin","percent","13","100",0
"US National","2 wk ahead","Point","percent",NA,NA,1.9
"US National","2 wk ahead","Bin","percent","0","0.1",0
"US National","2 wk ahead","Bin","percent","0.1","0.2",0
"US National","2 wk ahead","Bin","percent","0.2","0.3",0
"US National","2 wk ahead","Bin","percent","0.3","0.4",0
"US National","2 wk ahead","Bin","percent","0.4","0.5",0
"US National","2 wk ahead","Bin","percent","0.5","0.6",0
"US National","2 wk ahead","Bin","percent","0.6","0.7",0
"US National","2 wk ahead","Bin","percent","0.7","0.8",0
"US National","2 wk ahead","Bin","percent","0.8","0.9",0
"US National","2 wk ahead","Bin","percent","0.9","1",0
"US National","2 wk ahead","Bin","percent","1","1.1",1e-04
"US National","2 wk ahead","Bin","percent","1.1","1.2",0.0018
"US National","2 wk ahead","Bin","percent","1.2","1.3",0.0054
"US National","2 wk ahead","Bin","percent","1.3","1.4",0.0135
"US National","2 wk ahead","Bin","percent","1.4","1.5",0.0347
"US National","2 wk ahead","Bin","percent","1.5","1.6",0.0611
"US National","2 wk ahead","Bin","percent","1.6","1.7",0.0771
"US National","2 wk ahead","Bin","percent","1.7","1.8",0.1019
"US National","2 wk ahead","Bin","percent","1.8","1.9",0.1129
"US National","2 wk ahead","Bin","percent","1.9","2",0.116
"US National","2 wk ahead","Bin","percent","2","2.1",0.1039
"US National","2 wk ahead","Bin","percent","2.1","2.2",0.0895
"US National","2 wk ahead","Bin","percent","2.2","2.3",0.077
"US National","2 wk ahead","Bin","percent","2.3","2.4",0.0565
"US National","2 wk ahead","Bin","percent","2.4","2.5",0.0412
"US National","2 wk ahead","Bin","percent","2.5","2.6",0.0314
"US National","2 wk ahead","Bin","percent","2.6","2.7",0.0238
"US National","2 wk ahead","Bin","percent","2.7","2.8",0.0162
"US National","2 wk ahead","Bin","percent","2.8","2.9",0.0108
"US National","2 wk ahead","Bin","percent","2.9","3",0.009
"US National","2 wk ahead","Bin","percent","3","3.1",0.0041
"US National","2 wk ahead","Bin","percent","3.1","3.2",0.0039
"US National","2 wk ahead","Bin","percent","3.2","3.3",0.0025
"US National","2 wk ahead","Bin","percent","3.3","3.4",0.0022
"US National","2 wk ahead","Bin","percent","3.4","3.5",0.0011
"US National","2 wk ahead","Bin","percent","3.5","3.6",0.0013
"US National","2 wk ahead","Bin","percent","3.6","3.7",3e-04
"US National","2 wk ahead","Bin","percent","3.7","3.8",0
"US National","2 wk ahead","Bin","percent","3.8","3.9",3e-04
"US National","2 wk ahead","Bin","percent","3.9","4",0
"US National","2 wk ahead","Bin","percent","4","4.1",2e-04
"US National","2 wk ahead","Bin","percent","4.1","4.2",0
"US National","2 wk ahead","Bin","percent","4.2","4.3",1e-04
"US National","2 wk ahead","Bin","percent","4.3","4.4",0
"US National","2 wk ahead","Bin","percent","4.4","4.5",0
"US National","2 wk ahead","Bin","percent","4.5","4.6",0
"US National","2 wk ahead","Bin","percent","4.6","4.7",0
"US National","2 wk ahead","Bin","percent","4.7","4.8",1e-04
"US National","2 wk ahead","Bin","percent","4.8","4.9",1e-04
"US National","2 wk ahead","Bin","percent","4.9","5",0
"US National","2 wk ahead","Bin","percent","5","5.1",0
"US National","2 wk ahead","Bin","percent","5.1","5.2",0
"US National","2 wk ahead","Bin","percent","5.2","5.3",0
"US National","2 wk ahead","Bin","percent","5.3","5.4",0
"US National","2 wk ahead","Bin","percent","5.4","5.5",0
"US National","2 wk ahead","Bin","percent","5.5","5.6",0
"US National","2 wk ahead","Bin","percent","5.6","5.7",0
"US National","2 wk ahead","Bin","percent","5.7","5.8",0
"US National","2 wk ahead","Bin","percent","5.8","5.9",0
"US National","2 wk ahead","Bin","percent","5.9","6",0
"US National","2 wk ahead","Bin","percent","6","6.1",0
"US National","2 wk ahead","Bin","percent","6.1","6.2",0
"US National","2 wk ahead","Bin","percent","6.2","6.3",0
"US National","2 wk ahead","Bin","percent","6.3","6.4",0
"US National","2 wk ahead","Bin","percent","6.4","6.5",0
"US National","2 wk ahead","Bin","percent","6.5","6.6",0
"US National","2 wk ahead","Bin","percent","6.6","6.7",0
"US National","2 wk ahead","Bin","percent","6.7","6.8",0
"US National","2 wk ahead","Bin","percent","6.8","6.9",0
"US National","2 wk ahead","Bin","percent","6.9","7",0
"US National","2 wk ahead","Bin","percent","7","7.1",0
"US National","2 wk ahead","Bin","percent","7.1","7.2",0
"US National","2 wk ahead","Bin","percent","7.2","7.3",0
"US National","2 wk ahead","Bin","percent","7.3","7.4",0
"US National","2 wk ahead","Bin","percent","7.4","7.5",0
"US National","2 wk ahead","Bin","percent","7.5","7.6",0
"US National","2 wk ahead","Bin","percent","7.6","7.7",0
"US National","2 wk ahead","Bin","percent","7.7","7.8",0
"US National","2 wk ahead","Bin","percent","7.8","7.9",0
"US National","2 wk ahead","Bin","percent","7.9","8",0
"US National","2 wk ahead","Bin","percent","8","8.1",0
"US National","2 wk ahead","Bin","percent","8.1","8.2",0
"US National","2 wk ahead","Bin","percent","8.2","8.3",0
"US National","2 wk ahead","Bin","percent","8.3","8.4",0
"US National","2 wk ahead","Bin","percent","8.4","8.5",0
"US National","2 wk ahead","Bin","percent","8.5","8.6",0
"US National","2 wk ahead","Bin","percent","8.6","8.7",0
"US National","2 wk ahead","Bin","percent","8.7","8.8",0
"US National","2 wk ahead","Bin","percent","8.8","8.9",0
"US National","2 wk ahead","Bin","percent","8.9","9",0
"US National","2 wk ahead","Bin","percent","9","9.1",0
"US National","2 wk ahead","Bin","percent","9.1","9.2",0
"US National","2 wk ahead","Bin","percent","9.2","9.3",0
"US National","2 wk ahead","Bin","percent","9.3","9.4",0
"US National","2 wk ahead","Bin","percent","9.4","9.5",0
"US National","2 wk ahead","Bin","percent","9.5","9.6",0
"US National","2 wk ahead","Bin","percent","9.6","9.7",0
"US National","2 wk ahead","Bin","percent","9.7","9.8",0
"US National","2 wk ahead","Bin","percent","9.8","9.9",0
"US National","2 wk ahead","Bin","percent","9.9","10",0
"US National","2 wk ahead","Bin","percent","10","10.1",0
"US National","2 wk ahead","Bin","percent","10.1","10.2",0
"US National","2 wk ahead","Bin","percent","10.2","10.3",0
"US National","2 wk ahead","Bin","percent","10.3","10.4",0
"US National","2 wk ahead","Bin","percent","10.4","10.5",0
"US National","2 wk ahead","Bin","percent","10.5","10.6",0
"US National","2 wk ahead","Bin","percent","10.6","10.7",0
"US National","2 wk ahead","Bin","percent","10.7","10.8",0
"US National","2 wk ahead","Bin","percent","10.8","10.9",0
"US National","2 wk ahead","Bin","percent","10.9","11",0
"US National","2 wk ahead","Bin","percent","11","11.1",0
"US National","2 wk ahead","Bin","percent","11.1","11.2",0
"US National","2 wk ahead","Bin","percent","11.2","11.3",0
"US National","2 wk ahead","Bin","percent","11.3","11.4",0
"US National","2 wk ahead","Bin","percent","11.4","11.5",0
"US National","2 wk ahead","Bin","percent","11.5","11.6",0
"US National","2 wk ahead","Bin","percent","11.6","11.7",0
"US National","2 wk ahead","Bin","percent","11.7","11.8",0
"US National","2 wk ahead","Bin","percent","11.8","11.9",0
"US National","2 wk ahead","Bin","percent","11.9","12",0
"US National","2 wk ahead","Bin","percent","12","12.1",0
"US National","2 wk ahead","Bin","percent","12.1","12.2",0
"US National","2 wk ahead","Bin","percent","12.2","12.3",0
"US National","2 wk ahead","Bin","percent","12.3","12.4",0
