"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season peak percentage","Bin","percent","1.2","1.3",0
"US National","Season peak percentage","Bin","percent","1.3","1.4",0
"US National","Season peak percentage","Bin","percent","1.4","1.5",0
"US National","Season peak percentage","Bin","percent","1.5","1.6",0
"US National","Season peak percentage","Bin","percent","1.6","1.7",0
"US National","Season peak percentage","Bin","percent","1.7","1.8",0
"US National","Season peak percentage","Bin","percent","1.8","1.9",0
"US National","Season peak percentage","Bin","percent","1.9","2",0
"US National","Season peak percentage","Bin","percent","2","2.1",0
"US National","Season peak percentage","Bin","percent","2.1","2.2",0
"US National","Season peak percentage","Bin","percent","2.2","2.3",0
"US National","Season peak percentage","Bin","percent","2.3","2.4",0
"US National","Season peak percentage","Bin","percent","2.4","2.5",0
"US National","Season peak percentage","Bin","percent","2.5","2.6",0
"US National","Season peak percentage","Bin","percent","2.6","2.7",0
"US National","Season peak percentage","Bin","percent","2.7","2.8",0
"US National","Season peak percentage","Bin","percent","2.8","2.9",0.3161
"US National","Season peak percentage","Bin","percent","2.9","3",0.054
"US National","Season peak percentage","Bin","percent","3","3.1",0.0562
"US National","Season peak percentage","Bin","percent","3.1","3.2",0.0559
"US National","Season peak percentage","Bin","percent","3.2","3.3",0.0511
"US National","Season peak percentage","Bin","percent","3.3","3.4",0.0443
"US National","Season peak percentage","Bin","percent","3.4","3.5",0.0406
"US National","Season peak percentage","Bin","percent","3.5","3.6",0.0355
"US National","Season peak percentage","Bin","percent","3.6","3.7",0.0331
"US National","Season peak percentage","Bin","percent","3.7","3.8",0.0289
"US National","Season peak percentage","Bin","percent","3.8","3.9",0.0282
"US National","Season peak percentage","Bin","percent","3.9","4",0.0275
"US National","Season peak percentage","Bin","percent","4","4.1",0.0227
"US National","Season peak percentage","Bin","percent","4.1","4.2",0.0171
"US National","Season peak percentage","Bin","percent","4.2","4.3",0.0157
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.0151
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.0145
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.0138
"US National","Season peak percentage","Bin","percent","4.6","4.7",0.0123
"US National","Season peak percentage","Bin","percent","4.7","4.8",0.011
"US National","Season peak percentage","Bin","percent","4.8","4.9",0.0112
"US National","Season peak percentage","Bin","percent","4.9","5",0.0105
"US National","Season peak percentage","Bin","percent","5","5.1",0.008
"US National","Season peak percentage","Bin","percent","5.1","5.2",0.0068
"US National","Season peak percentage","Bin","percent","5.2","5.3",0.0061
"US National","Season peak percentage","Bin","percent","5.3","5.4",0.0053
"US National","Season peak percentage","Bin","percent","5.4","5.5",0.0052
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.0053
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.0053
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.0044
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.0034
"US National","Season peak percentage","Bin","percent","5.9","6",0.0027
"US National","Season peak percentage","Bin","percent","6","6.1",0.0036
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.0028
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.002
"US National","Season peak percentage","Bin","percent","6.3","6.4",0.0021
"US National","Season peak percentage","Bin","percent","6.4","6.5",0.0023
"US National","Season peak percentage","Bin","percent","6.5","6.6",0.0013
"US National","Season peak percentage","Bin","percent","6.6","6.7",0.0017
"US National","Season peak percentage","Bin","percent","6.7","6.8",0.001
"US National","Season peak percentage","Bin","percent","6.8","6.9",0.0018
"US National","Season peak percentage","Bin","percent","6.9","7",8e-04
"US National","Season peak percentage","Bin","percent","7","7.1",0.0016
"US National","Season peak percentage","Bin","percent","7.1","7.2",0.0014
"US National","Season peak percentage","Bin","percent","7.2","7.3",6e-04
"US National","Season peak percentage","Bin","percent","7.3","7.4",6e-04
"US National","Season peak percentage","Bin","percent","7.4","7.5",6e-04
"US National","Season peak percentage","Bin","percent","7.5","7.6",5e-04
"US National","Season peak percentage","Bin","percent","7.6","7.7",7e-04
"US National","Season peak percentage","Bin","percent","7.7","7.8",7e-04
"US National","Season peak percentage","Bin","percent","7.8","7.9",3e-04
"US National","Season peak percentage","Bin","percent","7.9","8",6e-04
"US National","Season peak percentage","Bin","percent","8","8.1",5e-04
"US National","Season peak percentage","Bin","percent","8.1","8.2",3e-04
"US National","Season peak percentage","Bin","percent","8.2","8.3",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","8.3","8.4",5e-04
"US National","Season peak percentage","Bin","percent","8.4","8.5",2e-04
"US National","Season peak percentage","Bin","percent","8.5","8.6",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","8.6","8.7",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","8.7","8.8",3e-04
"US National","Season peak percentage","Bin","percent","8.8","8.9",2e-04
"US National","Season peak percentage","Bin","percent","8.9","9",3e-04
"US National","Season peak percentage","Bin","percent","9","9.1",4e-04
"US National","Season peak percentage","Bin","percent","9.1","9.2",0
"US National","Season peak percentage","Bin","percent","9.2","9.3",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","9.3","9.4",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","9.4","9.5",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","9.5","9.6",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","9.6","9.7",3e-04
"US National","Season peak percentage","Bin","percent","9.7","9.8",3e-04
"US National","Season peak percentage","Bin","percent","9.8","9.9",0
"US National","Season peak percentage","Bin","percent","9.9","10",0
"US National","Season peak percentage","Bin","percent","10","10.1",0
"US National","Season peak percentage","Bin","percent","10.1","10.2",3e-04
"US National","Season peak percentage","Bin","percent","10.2","10.3",0
"US National","Season peak percentage","Bin","percent","10.3","10.4",0
"US National","Season peak percentage","Bin","percent","10.4","10.5",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","10.5","10.6",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","10.6","10.7",0
"US National","Season peak percentage","Bin","percent","10.7","10.8",0
"US National","Season peak percentage","Bin","percent","10.8","10.9",0
"US National","Season peak percentage","Bin","percent","10.9","11",0
"US National","Season peak percentage","Bin","percent","11","11.1",0
"US National","Season peak percentage","Bin","percent","11.1","11.2",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","11.2","11.3",0
"US National","Season peak percentage","Bin","percent","11.3","11.4",0
"US National","Season peak percentage","Bin","percent","11.4","11.5",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","11.5","11.6",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","11.6","11.7",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","11.7","11.8",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","11.8","11.9",0
"US National","Season peak percentage","Bin","percent","11.9","12",0
"US National","Season peak percentage","Bin","percent","12","12.1",0
"US National","Season peak percentage","Bin","percent","12.1","12.2",9.99999999999999e-05
"US National","Season peak percentage","Bin","percent","12.2","12.3",0
"US National","Season peak percentage","Bin","percent","12.3","12.4",0
"US National","Season peak percentage","Bin","percent","12.4","12.5",0
"US National","Season peak percentage","Bin","percent","12.5","12.6",0
"US National","Season peak percentage","Bin","percent","12.6","12.7",0
"US National","Season peak percentage","Bin","percent","12.7","12.8",0
"US National","Season peak percentage","Bin","percent","12.8","12.9",0
"US National","Season peak percentage","Bin","percent","12.9","13",0
"US National","Season peak percentage","Bin","percent","13","100",9.99999999999999e-05
"US National","1 wk ahead","Point","percent",NA,NA,2.6
"US National","1 wk ahead","Bin","percent","0","0.1",0
"US National","1 wk ahead","Bin","percent","0.1","0.2",0
"US National","1 wk ahead","Bin","percent","0.2","0.3",0
"US National","1 wk ahead","Bin","percent","0.3","0.4",0
"US National","1 wk ahead","Bin","percent","0.4","0.5",0
"US National","1 wk ahead","Bin","percent","0.5","0.6",0
"US National","1 wk ahead","Bin","percent","0.6","0.7",0
"US National","1 wk ahead","Bin","percent","0.7","0.8",0
"US National","1 wk ahead","Bin","percent","0.8","0.9",0
"US National","1 wk ahead","Bin","percent","0.9","1",0
"US National","1 wk ahead","Bin","percent","1","1.1",0
"US National","1 wk ahead","Bin","percent","1.1","1.2",0
"US National","1 wk ahead","Bin","percent","1.2","1.3",0
"US National","1 wk ahead","Bin","percent","1.3","1.4",0
"US National","1 wk ahead","Bin","percent","1.4","1.5",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","1.5","1.6",0
"US National","1 wk ahead","Bin","percent","1.6","1.7",7e-04
"US National","1 wk ahead","Bin","percent","1.7","1.8",0.0018
"US National","1 wk ahead","Bin","percent","1.8","1.9",0.0045
"US National","1 wk ahead","Bin","percent","1.9","2",0.0112
"US National","1 wk ahead","Bin","percent","2","2.1",0.021
"US National","1 wk ahead","Bin","percent","2.1","2.2",0.0382
"US National","1 wk ahead","Bin","percent","2.2","2.3",0.0556
"US National","1 wk ahead","Bin","percent","2.3","2.4",0.0803
"US National","1 wk ahead","Bin","percent","2.4","2.5",0.0976
"US National","1 wk ahead","Bin","percent","2.5","2.6",0.1103
"US National","1 wk ahead","Bin","percent","2.6","2.7",0.1112
"US National","1 wk ahead","Bin","percent","2.7","2.8",0.0961
"US National","1 wk ahead","Bin","percent","2.8","2.9",0.0928
"US National","1 wk ahead","Bin","percent","2.9","3",0.0731
"US National","1 wk ahead","Bin","percent","3","3.1",0.0606
"US National","1 wk ahead","Bin","percent","3.1","3.2",0.05
"US National","1 wk ahead","Bin","percent","3.2","3.3",0.0309
"US National","1 wk ahead","Bin","percent","3.3","3.4",0.0231
"US National","1 wk ahead","Bin","percent","3.4","3.5",0.0148
"US National","1 wk ahead","Bin","percent","3.5","3.6",0.0101
"US National","1 wk ahead","Bin","percent","3.6","3.7",0.0061
"US National","1 wk ahead","Bin","percent","3.7","3.8",0.0033
"US National","1 wk ahead","Bin","percent","3.8","3.9",0.0025
"US National","1 wk ahead","Bin","percent","3.9","4",0.0023
"US National","1 wk ahead","Bin","percent","4","4.1",6e-04
"US National","1 wk ahead","Bin","percent","4.1","4.2",5e-04
"US National","1 wk ahead","Bin","percent","4.2","4.3",2e-04
"US National","1 wk ahead","Bin","percent","4.3","4.4",9.99999999999999e-05
"US National","1 wk ahead","Bin","percent","4.4","4.5",4e-04
"US National","1 wk ahead","Bin","percent","4.5","4.6",0
"US National","1 wk ahead","Bin","percent","4.6","4.7",0
"US National","1 wk ahead","Bin","percent","4.7","4.8",0
"US National","1 wk ahead","Bin","percent","4.8","4.9",0
"US National","1 wk ahead","Bin","percent","4.9","5",0
"US National","1 wk ahead","Bin","percent","5","5.1",0
"US National","1 wk ahead","Bin","percent","5.1","5.2",0
"US National","1 wk ahead","Bin","percent","5.2","5.3",0
"US National","1 wk ahead","Bin","percent","5.3","5.4",0
"US National","1 wk ahead","Bin","percent","5.4","5.5",0
"US National","1 wk ahead","Bin","percent","5.5","5.6",0
"US National","1 wk ahead","Bin","percent","5.6","5.7",0
"US National","1 wk ahead","Bin","percent","5.7","5.8",0
"US National","1 wk ahead","Bin","percent","5.8","5.9",0
"US National","1 wk ahead","Bin","percent","5.9","6",0
"US National","1 wk ahead","Bin","percent","6","6.1",0
"US National","1 wk ahead","Bin","percent","6.1","6.2",0
"US National","1 wk ahead","Bin","percent","6.2","6.3",0
"US National","1 wk ahead","Bin","percent","6.3","6.4",0
"US National","1 wk ahead","Bin","percent","6.4","6.5",0
"US National","1 wk ahead","Bin","percent","6.5","6.6",0
"US National","1 wk ahead","Bin","percent","6.6","6.7",0
"US National","1 wk ahead","Bin","percent","6.7","6.8",0
"US National","1 wk ahead","Bin","percent","6.8","6.9",0
"US National","1 wk ahead","Bin","percent","6.9","7",0
"US National","1 wk ahead","Bin","percent","7","7.1",0
"US National","1 wk ahead","Bin","percent","7.1","7.2",0
"US National","1 wk ahead","Bin","percent","7.2","7.3",0
"US National","1 wk ahead","Bin","percent","7.3","7.4",0
"US National","1 wk ahead","Bin","percent","7.4","7.5",0
"US National","1 wk ahead","Bin","percent","7.5","7.6",0
"US National","1 wk ahead","Bin","percent","7.6","7.7",0
"US National","1 wk ahead","Bin","percent","7.7","7.8",0
"US National","1 wk ahead","Bin","percent","7.8","7.9",0
"US National","1 wk ahead","Bin","percent","7.9","8",0
"US National","1 wk ahead","Bin","percent","8","8.1",0
"US National","1 wk ahead","Bin","percent","8.1","8.2",0
"US National","1 wk ahead","Bin","percent","8.2","8.3",0
"US National","1 wk ahead","Bin","percent","8.3","8.4",0
"US National","1 wk ahead","Bin","percent","8.4","8.5",0
"US National","1 wk ahead","Bin","percent","8.5","8.6",0
"US National","1 wk ahead","Bin","percent","8.6","8.7",0
"US National","1 wk ahead","Bin","percent","8.7","8.8",0
"US National","1 wk ahead","Bin","percent","8.8","8.9",0
"US National","1 wk ahead","Bin","percent","8.9","9",0
"US National","1 wk ahead","Bin","percent","9","9.1",0
"US National","1 wk ahead","Bin","percent","9.1","9.2",0
"US National","1 wk ahead","Bin","percent","9.2","9.3",0
"US National","1 wk ahead","Bin","percent","9.3","9.4",0
"US National","1 wk ahead","Bin","percent","9.4","9.5",0
"US National","1 wk ahead","Bin","percent","9.5","9.6",0
"US National","1 wk ahead","Bin","percent","9.6","9.7",0
"US National","1 wk ahead","Bin","percent","9.7","9.8",0
"US National","1 wk ahead","Bin","percent","9.8","9.9",0
"US National","1 wk ahead","Bin","percent","9.9","10",0
"US National","1 wk ahead","Bin","percent","10","10.1",0
"US National","1 wk ahead","Bin","percent","10.1","10.2",0
"US National","1 wk ahead","Bin","percent","10.2","10.3",0
"US National","1 wk ahead","Bin","percent","10.3","10.4",0
"US National","1 wk ahead","Bin","percent","10.4","10.5",0
"US National","1 wk ahead","Bin","percent","10.5","10.6",0
"US National","1 wk ahead","Bin","percent","10.6","10.7",0
"US National","1 wk ahead","Bin","percent","10.7","10.8",0
"US National","1 wk ahead","Bin","percent","10.8","10.9",0
"US National","1 wk ahead","Bin","percent","10.9","11",0
"US National","1 wk ahead","Bin","percent","11","11.1",0
"US National","1 wk ahead","Bin","percent","11.1","11.2",0
"US National","1 wk ahead","Bin","percent","11.2","11.3",0
"US National","1 wk ahead","Bin","percent","11.3","11.4",0
"US National","1 wk ahead","Bin","percent","11.4","11.5",0
"US National","1 wk ahead","Bin","percent","11.5","11.6",0
"US National","1 wk ahead","Bin","percent","11.6","11.7",0
"US National","1 wk ahead","Bin","percent","11.7","11.8",0
"US National","1 wk ahead","Bin","percent","11.8","11.9",0
"US National","1 wk ahead","Bin","percent","11.9","12",0
"US National","1 wk ahead","Bin","percent","12","12.1",0
"US National","1 wk ahead","Bin","percent","12.1","12.2",0
"US National","1 wk ahead","Bin","percent","12.2","12.3",0
"US National","1 wk ahead","Bin","percent","12.3","12.4",0
"US National","1 wk ahead","Bin","percent","12.4","12.5",0
"US National","1 wk ahead","Bin","percent","12.5","12.6",0
"US National","1 wk ahead","Bin","percent","12.6","12.7",0
"US National","1 wk ahead","Bin","percent","12.7","12.8",0
"US National","1 wk ahead","Bin","percent","12.8","12.9",0
"US National","1 wk ahead","Bin","percent","12.9","13",0
"US National","1 wk ahead","Bin","percent","13","100",0
"US National","2 wk ahead","Point","percent",NA,NA,2.7
"US National","2 wk ahead","Bin","percent","0","0.1",0
"US National","2 wk ahead","Bin","percent","0.1","0.2",0
"US National","2 wk ahead","Bin","percent","0.2","0.3",0
"US National","2 wk ahead","Bin","percent","0.3","0.4",0
"US National","2 wk ahead","Bin","percent","0.4","0.5",0
"US National","2 wk ahead","Bin","percent","0.5","0.6",0
"US National","2 wk ahead","Bin","percent","0.6","0.7",0
"US National","2 wk ahead","Bin","percent","0.7","0.8",0
"US National","2 wk ahead","Bin","percent","0.8","0.9",0
"US National","2 wk ahead","Bin","percent","0.9","1",0
"US National","2 wk ahead","Bin","percent","1","1.1",0
"US National","2 wk ahead","Bin","percent","1.1","1.2",0
"US National","2 wk ahead","Bin","percent","1.2","1.3",2e-04
"US National","2 wk ahead","Bin","percent","1.3","1.4",0
"US National","2 wk ahead","Bin","percent","1.4","1.5",3e-04
"US National","2 wk ahead","Bin","percent","1.5","1.6",0.0019
"US National","2 wk ahead","Bin","percent","1.6","1.7",0.0036
"US National","2 wk ahead","Bin","percent","1.7","1.8",0.0082
"US National","2 wk ahead","Bin","percent","1.8","1.9",0.0157
"US National","2 wk ahead","Bin","percent","1.9","2",0.0245
"US National","2 wk ahead","Bin","percent","2","2.1",0.0365
"US National","2 wk ahead","Bin","percent","2.1","2.2",0.0454
"US National","2 wk ahead","Bin","percent","2.2","2.3",0.0558
"US National","2 wk ahead","Bin","percent","2.3","2.4",0.0616
"US National","2 wk ahead","Bin","percent","2.4","2.5",0.0749
"US National","2 wk ahead","Bin","percent","2.5","2.6",0.0695
"US National","2 wk ahead","Bin","percent","2.6","2.7",0.0785
"US National","2 wk ahead","Bin","percent","2.7","2.8",0.0742
"US National","2 wk ahead","Bin","percent","2.8","2.9",0.0708
"US National","2 wk ahead","Bin","percent","2.9","3",0.0618
"US National","2 wk ahead","Bin","percent","3","3.1",0.0596
"US National","2 wk ahead","Bin","percent","3.1","3.2",0.0492
"US National","2 wk ahead","Bin","percent","3.2","3.3",0.0447
"US National","2 wk ahead","Bin","percent","3.3","3.4",0.034
"US National","2 wk ahead","Bin","percent","3.4","3.5",0.0282
"US National","2 wk ahead","Bin","percent","3.5","3.6",0.0218
"US National","2 wk ahead","Bin","percent","3.6","3.7",0.0178
"US National","2 wk ahead","Bin","percent","3.7","3.8",0.0144
"US National","2 wk ahead","Bin","percent","3.8","3.9",0.0111
"US National","2 wk ahead","Bin","percent","3.9","4",0.0091
"US National","2 wk ahead","Bin","percent","4","4.1",0.0064
"US National","2 wk ahead","Bin","percent","4.1","4.2",0.0054
"US National","2 wk ahead","Bin","percent","4.2","4.3",0.0028
"US National","2 wk ahead","Bin","percent","4.3","4.4",0.0032
"US National","2 wk ahead","Bin","percent","4.4","4.5",0.0025
"US National","2 wk ahead","Bin","percent","4.5","4.6",0.002
"US National","2 wk ahead","Bin","percent","4.6","4.7",0.0013
"US National","2 wk ahead","Bin","percent","4.7","4.8",0.001
"US National","2 wk ahead","Bin","percent","4.8","4.9",7e-04
"US National","2 wk ahead","Bin","percent","4.9","5",4e-04
"US National","2 wk ahead","Bin","percent","5","5.1",3e-04
"US National","2 wk ahead","Bin","percent","5.1","5.2",2e-04
"US National","2 wk ahead","Bin","percent","5.2","5.3",1e-04
"US National","2 wk ahead","Bin","percent","5.3","5.4",2e-04
"US National","2 wk ahead","Bin","percent","5.4","5.5",1e-04
"US National","2 wk ahead","Bin","percent","5.5","5.6",0
"US National","2 wk ahead","Bin","percent","5.6","5.7",1e-04
"US National","2 wk ahead","Bin","percent","5.7","5.8",0
"US National","2 wk ahead","Bin","percent","5.8","5.9",0
"US National","2 wk ahead","Bin","percent","5.9","6",0
"US National","2 wk ahead","Bin","percent","6","6.1",0
"US National","2 wk ahead","Bin","percent","6.1","6.2",0
"US National","2 wk ahead","Bin","percent","6.2","6.3",0
"US National","2 wk ahead","Bin","percent","6.3","6.4",0
"US National","2 wk ahead","Bin","percent","6.4","6.5",0
"US National","2 wk ahead","Bin","percent","6.5","6.6",0
"US National","2 wk ahead","Bin","percent","6.6","6.7",0
"US National","2 wk ahead","Bin","percent","6.7","6.8",0
"US National","2 wk ahead","Bin","percent","6.8","6.9",0
"US National","2 wk ahead","Bin","percent","6.9","7",0
"US National","2 wk ahead","Bin","percent","7","7.1",0
"US National","2 wk ahead","Bin","percent","7.1","7.2",0
"US National","2 wk ahead","Bin","percent","7.2","7.3",0
"US National","2 wk ahead","Bin","percent","7.3","7.4",0
"US National","2 wk ahead","Bin","percent","7.4","7.5",0
"US National","2 wk ahead","Bin","percent","7.5","7.6",0
"US National","2 wk ahead","Bin","percent","7.6","7.7",0
"US National","2 wk ahead","Bin","percent","7.7","7.8",0
"US National","2 wk ahead","Bin","percent","7.8","7.9",0
"US National","2 wk ahead","Bin","percent","7.9","8",0
"US National","2 wk ahead","Bin","percent","8","8.1",0
"US National","2 wk ahead","Bin","percent","8.1","8.2",0
"US National","2 wk ahead","Bin","percent","8.2","8.3",0
"US National","2 wk ahead","Bin","percent","8.3","8.4",0
"US National","2 wk ahead","Bin","percent","8.4","8.5",0
"US National","2 wk ahead","Bin","percent","8.5","8.6",0
"US National","2 wk ahead","Bin","percent","8.6","8.7",0
"US National","2 wk ahead","Bin","percent","8.7","8.8",0
"US National","2 wk ahead","Bin","percent","8.8","8.9",0
"US National","2 wk ahead","Bin","percent","8.9","9",0
"US National","2 wk ahead","Bin","percent","9","9.1",0
"US National","2 wk ahead","Bin","percent","9.1","9.2",0
"US National","2 wk ahead","Bin","percent","9.2","9.3",0
"US National","2 wk ahead","Bin","percent","9.3","9.4",0
"US National","2 wk ahead","Bin","percent","9.4","9.5",0
"US National","2 wk ahead","Bin","percent","9.5","9.6",0
"US National","2 wk ahead","Bin","percent","9.6","9.7",0
"US National","2 wk ahead","Bin","percent","9.7","9.8",0
"US National","2 wk ahead","Bin","percent","9.8","9.9",0
"US National","2 wk ahead","Bin","percent","9.9","10",0
"US National","2 wk ahead","Bin","percent","10","10.1",0
"US National","2 wk ahead","Bin","percent","10.1","10.2",0
"US National","2 wk ahead","Bin","percent","10.2","10.3",0
"US National","2 wk ahead","Bin","percent","10.3","10.4",0
"US National","2 wk ahead","Bin","percent","10.4","10.5",0
"US National","2 wk ahead","Bin","percent","10.5","10.6",0
"US National","2 wk ahead","Bin","percent","10.6","10.7",0
"US National","2 wk ahead","Bin","percent","10.7","10.8",0
"US National","2 wk ahead","Bin","percent","10.8","10.9",0
"US National","2 wk ahead","Bin","percent","10.9","11",0
"US National","2 wk ahead","Bin","percent","11","11.1",0
"US National","2 wk ahead","Bin","percent","11.1","11.2",0
"US National","2 wk ahead","Bin","percent","11.2","11.3",0
"US National","2 wk ahead","Bin","percent","11.3","11.4",0
"US National","2 wk ahead","Bin","percent","11.4","11.5",0
"US National","2 wk ahead","Bin","percent","11.5","11.6",0
"US National","2 wk ahead","Bin","percent","11.6","11.7",0
"US National","2 wk ahead","Bin","percent","11.7","11.8",0
"US National","2 wk ahead","Bin","percent","11.8","11.9",0
"US National","2 wk ahead","Bin","percent","11.9","12",0
"US National","2 wk ahead","Bin","percent","12","12.1",0
"US National","2 wk ahead","Bin","percent","12.1","12.2",0
"US National","2 wk ahead","Bin","percent","12.2","12.3",0
"US National","2 wk ahead","Bin","percent","12.3","12.4",0
"US National","2 wk ahead","Bin","percent","12.4","12.5",0
"US National","2 wk ahead","Bin","percent","12.5","12.6",0
"US National","2 wk ahead","Bin","percent","12.6","12.7",0
"US National","2 wk ahead","Bin","percent","12.7","12.8",0
"US National","2 wk ahead","Bin","percent","12.8","12.9",0
"US National","2 wk ahead","Bin","percent","12.9","13",0
"US National","2 wk ahead","Bin","percent","13","100",0
"US National","3 wk ahead","Point","percent",NA,NA,2.7
"US National","3 wk ahead","Bin","percent","0","0.1",0
"US National","3 wk ahead","Bin","percent","0.1","0.2",0
"US National","3 wk ahead","Bin","percent","0.2","0.3",0
"US National","3 wk ahead","Bin","percent","0.3","0.4",0
"US National","3 wk ahead","Bin","percent","0.4","0.5",0
"US National","3 wk ahead","Bin","percent","0.5","0.6",0
"US National","3 wk ahead","Bin","percent","0.6","0.7",0
"US National","3 wk ahead","Bin","percent","0.7","0.8",0
"US National","3 wk ahead","Bin","percent","0.8","0.9",0
"US National","3 wk ahead","Bin","percent","0.9","1",0
"US National","3 wk ahead","Bin","percent","1","1.1",9.99999999999999e-05
"US National","3 wk ahead","Bin","percent","1.1","1.2",9.99999999999999e-05
"US National","3 wk ahead","Bin","percent","1.2","1.3",7e-04
