Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,1 wk ahead,Bin,percent,6.2,6.3,9.98692e-06
US National,1 wk ahead,Bin,percent,6.3,6.4,9.98692e-06
US National,1 wk ahead,Bin,percent,6.4,6.5,9.98692e-06
US National,1 wk ahead,Bin,percent,6.5,6.6,9.98692e-06
US National,1 wk ahead,Bin,percent,6.6,6.7,9.98692e-06
US National,1 wk ahead,Bin,percent,6.7,6.8,9.98692e-06
US National,1 wk ahead,Bin,percent,6.8,6.9,9.98692e-06
US National,1 wk ahead,Bin,percent,6.9,7.0,9.98692e-06
US National,1 wk ahead,Bin,percent,7.0,7.1,9.98692e-06
US National,1 wk ahead,Bin,percent,7.1,7.2,9.98692e-06
US National,1 wk ahead,Bin,percent,7.2,7.3,9.98692e-06
US National,1 wk ahead,Bin,percent,7.3,7.4,9.98692e-06
US National,1 wk ahead,Bin,percent,7.4,7.5,9.98692e-06
US National,1 wk ahead,Bin,percent,7.5,7.6,9.98692e-06
US National,1 wk ahead,Bin,percent,7.6,7.7,9.98692e-06
US National,1 wk ahead,Bin,percent,7.7,7.8,9.98692e-06
US National,1 wk ahead,Bin,percent,7.8,7.9,9.98692e-06
US National,1 wk ahead,Bin,percent,7.9,8.0,9.98692e-06
US National,1 wk ahead,Bin,percent,8.0,8.1,9.98692e-06
US National,1 wk ahead,Bin,percent,8.1,8.2,9.98692e-06
US National,1 wk ahead,Bin,percent,8.2,8.3,9.98692e-06
US National,1 wk ahead,Bin,percent,8.3,8.4,9.98692e-06
US National,1 wk ahead,Bin,percent,8.4,8.5,9.98692e-06
US National,1 wk ahead,Bin,percent,8.5,8.6,9.98692e-06
US National,1 wk ahead,Bin,percent,8.6,8.7,9.98692e-06
US National,1 wk ahead,Bin,percent,8.7,8.8,9.98692e-06
US National,1 wk ahead,Bin,percent,8.8,8.9,9.98692e-06
US National,1 wk ahead,Bin,percent,8.9,9.0,9.98692e-06
US National,1 wk ahead,Bin,percent,9.0,9.1,9.98692e-06
US National,1 wk ahead,Bin,percent,9.1,9.2,9.98692e-06
US National,1 wk ahead,Bin,percent,9.2,9.3,9.98692e-06
US National,1 wk ahead,Bin,percent,9.3,9.4,9.98692e-06
US National,1 wk ahead,Bin,percent,9.4,9.5,9.98692e-06
US National,1 wk ahead,Bin,percent,9.5,9.6,9.98692e-06
US National,1 wk ahead,Bin,percent,9.6,9.7,9.98692e-06
US National,1 wk ahead,Bin,percent,9.7,9.8,9.98692e-06
US National,1 wk ahead,Bin,percent,9.8,9.9,9.98692e-06
US National,1 wk ahead,Bin,percent,9.9,10.0,9.98692e-06
US National,1 wk ahead,Bin,percent,10.0,10.1,9.98692e-06
US National,1 wk ahead,Bin,percent,10.1,10.2,9.98692e-06
US National,1 wk ahead,Bin,percent,10.2,10.3,9.98692e-06
US National,1 wk ahead,Bin,percent,10.3,10.4,9.98692e-06
US National,1 wk ahead,Bin,percent,10.4,10.5,9.98692e-06
US National,1 wk ahead,Bin,percent,10.5,10.6,9.98692e-06
US National,1 wk ahead,Bin,percent,10.6,10.7,9.98692e-06
US National,1 wk ahead,Bin,percent,10.7,10.8,9.98692e-06
US National,1 wk ahead,Bin,percent,10.8,10.9,9.98692e-06
US National,1 wk ahead,Bin,percent,10.9,11.0,9.98692e-06
US National,1 wk ahead,Bin,percent,11.0,11.1,9.98692e-06
US National,1 wk ahead,Bin,percent,11.1,11.2,9.98692e-06
US National,1 wk ahead,Bin,percent,11.2,11.3,9.98692e-06
US National,1 wk ahead,Bin,percent,11.3,11.4,9.98692e-06
US National,1 wk ahead,Bin,percent,11.4,11.5,9.98692e-06
US National,1 wk ahead,Bin,percent,11.5,11.6,9.98692e-06
US National,1 wk ahead,Bin,percent,11.6,11.7,9.98692e-06
US National,1 wk ahead,Bin,percent,11.7,11.8,9.98692e-06
US National,1 wk ahead,Bin,percent,11.8,11.9,9.98692e-06
US National,1 wk ahead,Bin,percent,11.9,12.0,9.98692e-06
US National,1 wk ahead,Bin,percent,12.0,12.1,9.98692e-06
US National,1 wk ahead,Bin,percent,12.1,12.2,9.98692e-06
US National,1 wk ahead,Bin,percent,12.2,12.3,9.98692e-06
US National,1 wk ahead,Bin,percent,12.3,12.4,9.98692e-06
US National,1 wk ahead,Bin,percent,12.4,12.5,9.98692e-06
US National,1 wk ahead,Bin,percent,12.5,12.6,9.98692e-06
US National,1 wk ahead,Bin,percent,12.6,12.7,9.98692e-06
US National,1 wk ahead,Bin,percent,12.7,12.8,9.98692e-06
US National,1 wk ahead,Bin,percent,12.8,12.9,9.98692e-06
US National,1 wk ahead,Bin,percent,12.9,13.0,9.98692e-06
US National,1 wk ahead,Bin,percent,13.0,100,9.98692e-06
US National,2 wk ahead,Point,percent,NA,NA,3.2
US National,2 wk ahead,Bin,percent,0.0,0.1,9.98692e-06
US National,2 wk ahead,Bin,percent,0.1,0.2,9.98692e-06
US National,2 wk ahead,Bin,percent,0.2,0.3,9.98692e-06
US National,2 wk ahead,Bin,percent,0.3,0.4,9.98692e-06
US National,2 wk ahead,Bin,percent,0.4,0.5,9.98692e-06
US National,2 wk ahead,Bin,percent,0.5,0.6,9.98692e-06
US National,2 wk ahead,Bin,percent,0.6,0.7,9.98692e-06
US National,2 wk ahead,Bin,percent,0.7,0.8,9.98692e-06
US National,2 wk ahead,Bin,percent,0.8,0.9,9.98692e-06
US National,2 wk ahead,Bin,percent,0.9,1.0,9.98692e-06
US National,2 wk ahead,Bin,percent,1.0,1.1,9.98692e-06
US National,2 wk ahead,Bin,percent,1.1,1.2,9.98692e-06
US National,2 wk ahead,Bin,percent,1.2,1.3,9.98692e-06
US National,2 wk ahead,Bin,percent,1.3,1.4,9.98692e-06
US National,2 wk ahead,Bin,percent,1.4,1.5,9.98692e-06
US National,2 wk ahead,Bin,percent,1.5,1.6,9.98692e-06
US National,2 wk ahead,Bin,percent,1.6,1.7,9.98703e-06
US National,2 wk ahead,Bin,percent,1.7,1.8,9.98848e-06
US National,2 wk ahead,Bin,percent,1.8,1.9,1.00053e-05
US National,2 wk ahead,Bin,percent,1.9,2.0,1.01672e-05
US National,2 wk ahead,Bin,percent,2.0,2.1,1.14722e-05
US National,2 wk ahead,Bin,percent,2.1,2.2,2.02526e-05
US National,2 wk ahead,Bin,percent,2.2,2.3,6.95028e-05
US National,2 wk ahead,Bin,percent,2.3,2.4,0.000299429
US National,2 wk ahead,Bin,percent,2.4,2.5,0.00119086
US National,2 wk ahead,Bin,percent,2.5,2.6,0.00405182
US National,2 wk ahead,Bin,percent,2.6,2.7,0.0116168
US National,2 wk ahead,Bin,percent,2.7,2.8,0.0279755
US National,2 wk ahead,Bin,percent,2.8,2.9,0.0565465
US National,2 wk ahead,Bin,percent,2.9,3.0,0.0959153
US National,2 wk ahead,Bin,percent,3.0,3.1,0.136523
US National,2 wk ahead,Bin,percent,3.1,3.2,0.163065
US National,2 wk ahead,Bin,percent,3.2,3.3,0.163436
US National,2 wk ahead,Bin,percent,3.3,3.4,0.137458
US National,2 wk ahead,Bin,percent,3.4,3.5,0.0970122
US National,2 wk ahead,Bin,percent,3.5,3.6,0.0574539
US National,2 wk ahead,Bin,percent,3.6,3.7,0.0285539
US National,2 wk ahead,Bin,percent,3.7,3.8,0.0119109
US National,2 wk ahead,Bin,percent,3.8,3.9,0.00417314
US National,2 wk ahead,Bin,percent,3.9,4.0,0.00123186
US National,2 wk ahead,Bin,percent,4.0,4.1,0.000310846
US National,2 wk ahead,Bin,percent,4.1,4.2,7.21328e-05
US National,2 wk ahead,Bin,percent,4.2,4.3,2.07552e-05
US National,2 wk ahead,Bin,percent,4.3,4.4,1.1552e-05
US National,2 wk ahead,Bin,percent,4.4,4.5,1.01777e-05
US National,2 wk ahead,Bin,percent,4.5,4.6,1.00064e-05
US National,2 wk ahead,Bin,percent,4.6,4.7,9.98859e-06
US National,2 wk ahead,Bin,percent,4.7,4.8,9.98704e-06
US National,2 wk ahead,Bin,percent,4.8,4.9,9.98692e-06
US National,2 wk ahead,Bin,percent,4.9,5.0,9.98692e-06
US National,2 wk ahead,Bin,percent,5.0,5.1,9.98692e-06
US National,2 wk ahead,Bin,percent,5.1,5.2,9.98692e-06
US National,2 wk ahead,Bin,percent,5.2,5.3,9.98692e-06
US National,2 wk ahead,Bin,percent,5.3,5.4,9.98692e-06
US National,2 wk ahead,Bin,percent,5.4,5.5,9.98692e-06
US National,2 wk ahead,Bin,percent,5.5,5.6,9.98692e-06
US National,2 wk ahead,Bin,percent,5.6,5.7,9.98692e-06
US National,2 wk ahead,Bin,percent,5.7,5.8,9.98692e-06
US National,2 wk ahead,Bin,percent,5.8,5.9,9.98692e-06
US National,2 wk ahead,Bin,percent,5.9,6.0,9.98692e-06
US National,2 wk ahead,Bin,percent,6.0,6.1,9.98692e-06
US National,2 wk ahead,Bin,percent,6.1,6.2,9.98692e-06
US National,2 wk ahead,Bin,percent,6.2,6.3,9.98692e-06
US National,2 wk ahead,Bin,percent,6.3,6.4,9.98692e-06
US National,2 wk ahead,Bin,percent,6.4,6.5,9.98692e-06
US National,2 wk ahead,Bin,percent,6.5,6.6,9.98692e-06
US National,2 wk ahead,Bin,percent,6.6,6.7,9.98692e-06
US National,2 wk ahead,Bin,percent,6.7,6.8,9.98692e-06
US National,2 wk ahead,Bin,percent,6.8,6.9,9.98692e-06
US National,2 wk ahead,Bin,percent,6.9,7.0,9.98692e-06
US National,2 wk ahead,Bin,percent,7.0,7.1,9.98692e-06
US National,2 wk ahead,Bin,percent,7.1,7.2,9.98692e-06
US National,2 wk ahead,Bin,percent,7.2,7.3,9.98692e-06
US National,2 wk ahead,Bin,percent,7.3,7.4,9.98692e-06
US National,2 wk ahead,Bin,percent,7.4,7.5,9.98692e-06
US National,2 wk ahead,Bin,percent,7.5,7.6,9.98692e-06
US National,2 wk ahead,Bin,percent,7.6,7.7,9.98692e-06
US National,2 wk ahead,Bin,percent,7.7,7.8,9.98692e-06
US National,2 wk ahead,Bin,percent,7.8,7.9,9.98692e-06
US National,2 wk ahead,Bin,percent,7.9,8.0,9.98692e-06
US National,2 wk ahead,Bin,percent,8.0,8.1,9.98692e-06
US National,2 wk ahead,Bin,percent,8.1,8.2,9.98692e-06
US National,2 wk ahead,Bin,percent,8.2,8.3,9.98692e-06
US National,2 wk ahead,Bin,percent,8.3,8.4,9.98692e-06
US National,2 wk ahead,Bin,percent,8.4,8.5,9.98692e-06
US National,2 wk ahead,Bin,percent,8.5,8.6,9.98692e-06
US National,2 wk ahead,Bin,percent,8.6,8.7,9.98692e-06
US National,2 wk ahead,Bin,percent,8.7,8.8,9.98692e-06
US National,2 wk ahead,Bin,percent,8.8,8.9,9.98692e-06
US National,2 wk ahead,Bin,percent,8.9,9.0,9.98692e-06
US National,2 wk ahead,Bin,percent,9.0,9.1,9.98692e-06
US National,2 wk ahead,Bin,percent,9.1,9.2,9.98692e-06
US National,2 wk ahead,Bin,percent,9.2,9.3,9.98692e-06
US National,2 wk ahead,Bin,percent,9.3,9.4,9.98692e-06
US National,2 wk ahead,Bin,percent,9.4,9.5,9.98692e-06
US National,2 wk ahead,Bin,percent,9.5,9.6,9.98692e-06
US National,2 wk ahead,Bin,percent,9.6,9.7,9.98692e-06
US National,2 wk ahead,Bin,percent,9.7,9.8,9.98692e-06
US National,2 wk ahead,Bin,percent,9.8,9.9,9.98692e-06
US National,2 wk ahead,Bin,percent,9.9,10.0,9.98692e-06
US National,2 wk ahead,Bin,percent,10.0,10.1,9.98692e-06
US National,2 wk ahead,Bin,percent,10.1,10.2,9.98692e-06
US National,2 wk ahead,Bin,percent,10.2,10.3,9.98692e-06
US National,2 wk ahead,Bin,percent,10.3,10.4,9.98692e-06
